thoi_diem,do_dai_nghi_gio,xau_dong_truoc,xau_mo_that,khoang_trong_that,uoc_khong_doi,uoc_giu_delta,uoc_mo_hinh,paxg_khoang_trong,sai_so_khong_doi,sai_so_giu_delta,sai_so_mo_hinh
2020-09-13 22:00:00+00:00,49.75,1941.735,1940.548,-1.1869999999998981,1941.735,1937.9932742408323,1949.5386296272998,-3.7417257591675934,1.1869999999998981,-2.5547257591676953,8.990629627299768
2020-09-20 22:00:00+00:00,49.25,1949.718,1949.588,-0.13000000000010914,1949.718,1945.8115662153068,1953.291269905916,-3.906433784693263,0.13000000000010914,-3.776433784693154,3.7032699059159313
2020-09-27 22:00:00+00:00,49.25,1860.998,1859.448,-1.5499999999999545,1860.998,1866.2290492678871,1857.2706905504394,5.2310492678871015,1.5499999999999545,6.781049267887056,-2.177309449560653
2020-10-04 22:00:00+00:00,49.25,1898.868,1903.828,4.960000000000036,1898.868,1893.8813829286228,1904.8313254335771,-4.986617071377168,-4.960000000000036,-9.946617071377204,1.0033254335771744
2020-10-11 22:00:00+00:00,49.25,1929.618,1928.788,-0.8299999999999272,1929.618,1932.666486363341,1930.2244306339155,3.0484863633409987,0.8299999999999272,3.878486363340926,1.4364306339155064
2020-10-18 22:00:00+00:00,49.5,1898.645,1899.668,1.0229999999999109,1898.645,1900.9387315041024,1895.753859316238,2.293731504102425,-1.0229999999999109,1.270731504102514,-3.9141406837618433
2020-10-25 22:15:00+00:00,50.25,1902.895,1899.408,-3.48700000000008,1902.895,1898.2353282880742,1899.9035609187954,-4.659671711925739,3.48700000000008,-1.172671711925659,0.4955609187954906
2020-11-01 23:00:00+00:00,50.25,1878.438,1876.928,-1.509999999999991,1878.438,1880.6077969240562,1880.1277529626095,2.1697969240560724,1.509999999999991,3.6797969240560633,3.1997529626094092
2020-11-08 23:00:00+00:00,49.25,1950.298,1954.688,4.3900000000001,1950.298,1954.2304498158128,1952.5625449370893,3.932449815812788,-4.3900000000001,-0.45755018418731197,-2.12545506291076
2020-11-15 23:15:00+00:00,49.5,1888.288,1888.745,0.45699999999987995,1888.288,1887.911413973446,1888.1303584836567,-0.37658602655392315,-0.45699999999987995,-0.8335860265538031,-0.6146415163432266
