khung,thanh_phan,mae_usd,rmse_usd,mape_pct,sai_so_max_usd
M15,open,0.1042,0.4089,0.0045,47.127
M15,high,1.2714,2.5954,0.0593,382.427
M15,low,1.2733,2.1292,0.05988,69.654
M15,close,1.6656,2.419,0.07874,47.9
