khung,che_do,so_nen,ty_le_pct,adx_trung_binh
H1,Sideway,32674,50.17,18.37
H1,Uptrend,12834,19.71,36.99
H1,Transition,9824,15.08,33.5
H1,Downtrend,9793,15.04,37.25
H1,,1,0.0,
