thoi_diem,xau_dong,xau_mo_that,r_xau_nghi,r_paxg_nghi,uoc_beta0_khong_doi,uoc_beta090_pp_cu_xap_xi,uoc_beta1_giu_delta,uoc_beta015_toi_uu,uoc_pp_cu_nguyen_van,so_moc_247,bien_dong_uoc_247
2020-08-30 22:00:00+00:00,1964.428,1965.378,0.0004834844358757932,0.0038276017796752,1964.428,1971.2068125620797,1971.9614564470673,1965.5561810524214,2000.585703497357,50,0.020646806464290623
2020-09-06 22:00:00+00:00,1933.298,1929.788,-0.0018172005313362005,-0.0031382555154536693,1933.298,1927.845239294903,1927.2403271227997,1932.3881367038375,1937.8905300002943,50,0.022304197098258614
2020-09-13 22:00:00+00:00,1938.928,1940.548,0.0008351643851706857,-0.006193412090645725,1938.928,1928.1503435096984,1926.9565302717185,1937.1275494317022,1937.6047526854925,50,0.02192780939023643
2020-09-20 22:00:00+00:00,1949.718,1949.588,-6.667853205076491e-05,-0.002005598996356224,1949.718,1946.2018571247813,1945.8115662153068,1949.1315353507948,1951.9704766287846,50,0.021103355816428544
2020-09-27 22:00:00+00:00,1860.998,1859.448,-0.0008332334831241085,0.002806940727422674,1860.998,1865.7052833478124,1866.229049267888,1861.7817216399144,1813.7905469369553,50,0.022005113431051986
2020-10-04 22:00:00+00:00,1898.868,1903.828,0.0026086770085298043,-0.0026295541525494224,1898.868,1894.3794547765895,1893.8813829286232,1898.1191712559569,1825.5375194136288,50,0.0206816346344632
2020-10-11 22:00:00+00:00,1929.618,1928.788,-0.0004302294848195997,0.0015785926734100902,1929.618,1932.3614211271108,1932.6664863633418,1930.0749662257222,1946.2074764558922,50,0.017230232716944203
2020-10-18 22:00:00+00:00,1898.968,1899.668,0.00036855334805614026,0.0028797891985917028,1898.968,1903.8961484355414,1904.4445093462934,1899.7884713263074,1886.0917952579593,50,0.020067442158600204
2020-10-25 22:00:00+00:00,1901.258,1903.298,0.0010723985639883378,-0.0015147674606552138,1901.258,1898.667798622475,1898.3802163840408,1900.8260545112246,1896.3145827288736,50,0.02283439668558888
2020-11-01 23:00:00+00:00,1878.438,1876.928,-0.0008041826449819485,0.0011544403991096983,1878.438,1880.3907044937464,1880.6077969240564,1878.7633098726649,1818.158480811337,51,0.022419775203862617
2020-11-08 23:00:00+00:00,1950.298,1954.688,0.0022484084959137987,0.0020143027236125604,1950.298,1953.836848287011,1954.2304498158117,1950.8873626181094,1902.3069076631505,50,0.022560842485852904
2020-11-15 23:00:00+00:00,1888.288,1888.138,-7.944019031691716e-05,0.0016758879512678354,1888.288,1891.1382521730727,1891.4552123129147,1888.7627435349311,1857.4160249841161,50,0.016833009296559683
2020-11-22 23:00:00+00:00,1870.318,1869.943,-0.00020052076646869042,0.0006116426526247359,1870.318,1871.347853066416,1871.46231618339,1870.4896028112655,1853.85752591081,50,0.018226367847338085
2020-11-29 23:00:00+00:00,1786.648,1787.208,0.00031338699969070204,-0.002436118650581143,1786.648,1782.7350532852597,1782.3008107694866,1785.9952462939507,1762.541087373184,53,0.017733754114251116
2020-12-06 23:00:00+00:00,1838.208,1838.528,0.00017406743416336409,0.0022331525540802183,1838.208,1841.9062141606023,1842.3175858483323,1838.8238529747846,1798.0279016580537,50,0.02229919264589483
2020-12-13 23:00:00+00:00,1838.998,1840.698,0.0009239894387736258,-0.001142059081437965,1838.998,1837.10875117155,1836.8989544785024,1838.6829903277478,1865.9999887900747,50,0.017399701033682987
2020-12-20 23:00:00+00:00,1880.838,1883.818,0.0015831463073443643,-0.0008477111930527254,1880.838,1879.4035805751826,1879.244268182671,1880.5988540910841,1875.3000829032555,50,0.018352988769295503
2020-12-27 23:00:00+00:00,1879.125,1882.921,0.002018051500846957,0.016993320370492292,1879.125,1908.085209887933,1911.330436792594,1883.920995866461,1892.9192852614863,76,0.02441222134364664
2021-01-03 23:00:00+00:00,1897.765,1904.998,0.003804080728886599,0.010082468378165097,1897.765,1915.0641093139861,1916.9959403640396,1900.637294779375,1925.6977323470394,74,0.03367013214958775
2021-01-10 23:00:00+00:00,1848.508,1849.163,0.00035427706080439105,0.02378230008713037,1848.508,1888.500064448096,1892.9966968664967,1855.114041804885,1902.52468763556,50,0.03015520482261243
2021-01-17 23:00:00+00:00,1827.478,1828.608,0.0006181474046188063,0.005656673833265915,1827.478,1836.8054251299268,1837.844739973981,1829.0292750837377,1757.7114196300122,50,0.018676140001690118
2021-01-24 23:00:00+00:00,1855.198,1854.187,-0.0005451038514654243,0.0006402947659356083,1855.198,1856.267394310074,1856.3862539449688,1855.3761895922792,1872.7617861996212,50,0.014874376096025465
2021-01-31 23:00:00+00:00,1847.048,1863.422,0.008825893371724625,-0.0013530789871016014,1847.048,1844.8000873460467,1844.5504882094356,1846.673157765078,1862.3362839134863,50,0.017869948375322284
2021-02-07 23:00:00+00:00,1814.048,1816.958,0.0016028619192713911,0.004697465307618011,1814.048,1821.7335194518414,1822.5894734775534,1815.3266645652322,1756.2630281060597,50,0.018413196617816166
2021-02-14 23:00:00+00:00,1823.648,1825.118,0.0008057519060040632,0.008957441306160174,1823.648,1838.4091178168426,1840.056599744776,1826.0999298459174,1803.2070820874858,50,0.019364915747398275
2021-02-21 23:00:00+00:00,1783.398,1781.546,-0.0010390065967981713,0.008681758222357033,1783.398,1797.3873093629736,1798.948435135926,1785.7219674183457,1880.497497643103,50,0.02411413850512542
2021-02-28 23:00:00+00:00,1733.188,1732.746,-0.0002550539060444146,0.006685490105481088,1733.188,1743.6479269273198,1744.814030778966,1734.9269534697248,1725.6280623128969,50,0.025973465850885512
2021-03-07 23:00:00+00:00,1699.398,1701.718,0.0013642582962958983,0.00479303031720089,1699.398,1706.744573686943,1707.5628176132159,1700.6202292312335,1714.0692645794222,49,0.016980999981242022
2021-03-14 22:00:00+00:00,1726.958,1727.188,0.0001331732939718235,0.0004335929324450417,1726.958,1727.632048614755,1727.7069591433913,1727.070323170165,1707.2253864934275,49,0.01665039340957684
2021-03-21 22:00:00+00:00,1744.858,1746.009,0.000659435058230383,-0.002446276055589632,1744.858,1741.020661873592,1740.59481224726,1744.2178568028353,1729.325863301456,50,0.016390712452798297
2021-03-28 22:00:00+00:00,1731.808,1731.268,-0.0003118614805892275,0.004502097950075604,1731.808,1738.839327779016,1739.6223465244552,1732.9779103713786,1731.8667538952354,50,0.018562261025044414
2021-04-04 22:00:00+00:00,1728.805,1727.929,-0.0005068368111359022,0.009834660528488524,1728.805,1744.1749099520566,1745.8910905305697,1731.3572135929678,1754.0637334470198,74,0.024767276381320803
2021-04-11 22:00:00+00:00,1743.028,1743.378,0.00020077982952969385,0.007762666577323632,1743.028,1755.24812832571,1756.611197908063,1745.0587638611003,1749.4611157430593,50,0.01960645385580999
2021-04-18 22:00:00+00:00,1775.748,1776.998,0.0007036810689984975,-0.001736248727589689,1775.748,1772.9753406910093,1772.66753479523,1775.2855891862998,1818.5752551063963,50,0.021884003480082462
2021-04-25 22:00:00+00:00,1776.818,1775.852,-0.0005438163543513498,0.004864245280485043,1776.818,1784.6136422253683,1785.481933235939,1778.114904862833,1786.8862753688773,47,0.021187106623290083
2021-05-02 22:00:00+00:00,1768.428,1768.87,0.00024990826461337615,0.004299781558217186,1768.428,1775.2847272276306,1776.0482250126242,1769.568946012061,1868.6718434137133,50,0.018168936361644048
2021-05-09 22:00:00+00:00,1830.618,1833.43,0.0015349146911180858,0.014850040200317194,1830.618,1855.2485029512736,1858.0056010805456,1834.7002575724534,1822.1159092817918,50,0.023162705914146348
2021-05-16 22:00:00+00:00,1842.688,1844.528,0.0009980430507644381,0.04670289930368162,1842.688,1921.7918086650282,1930.7881249479692,1855.64215257481,1952.6991783250055,50,0.027488898596222663
2021-05-23 22:00:00+00:00,1880.898,1882.123,0.0006510726585223645,-0.0025458683017726695,1880.898,1876.5932668236328,1876.1155717023237,1880.1798593410326,1867.8662786391794,50,0.0190615423027692
2021-05-30 22:00:00+00:00,1902.648,1903.338,0.000362586729199433,0.006799327094971813,1902.648,1914.3267504843266,1915.6288064637088,1904.5894988129055,1880.5062240471245,50,0.01774858819366523
2021-06-06 22:00:00+00:00,1890.708,1891.398,0.00036487608102737386,-0.00170777990744652,1890.708,1887.8042103168843,1887.48184243438,1890.223725060287,1900.2088285094999,50,0.017626472483651297
2021-06-13 22:00:00+00:00,1877.048,1876.758,-0.00015450984977753024,1.4111651456569282e-05,1877.048,1877.0718395738156,1877.0744884340406,1877.0519732412768,1832.7610936845194,50,0.015363338896447644
2021-06-20 22:00:00+00:00,1763.198,1763.938,0.00041960390008059664,0.004441700818160748,1763.198,1770.2605451648465,1771.047016586636,1764.373131124973,1815.8928095702013,50,0.018541242016808478
2021-06-27 22:00:00+00:00,1780.938,1781.227,0.0001622608726064947,0.001206197456558848,1780.938,1782.8723963761247,1783.087458961249,1781.2602535846133,1796.229606718385,50,0.01671859760212321
