khung,che_do,so_nen,ty_le_pct,adx_trung_binh
M15,Sideway,103371,55.91,17.95
M15,Uptrend,30941,16.74,35.84
M15,Downtrend,27515,14.88,36.65
M15,Transition,23053,12.47,32.54
M15,,2,0.0,
