khung,mo_hinh,che_do,lot,cat_lo,rr,so_lenh,loi_nhuan_rong,loi_nhuan_pct,ty_le_thang,he_so_loi_nhuan,sharpe,sortino,sut_giam_toi_da,calmar,ky_vong
H1,XGBoost,lot co dinh,0.2,20,2.0,543,-8011.34,-80.11,0.4678,0.833,-0.741,-1.074,-82.86,-0.364,-14.75
H1,XGBoost,lot co dinh,0.2,25,1.5,526,-8088.46,-80.88,0.4525,0.825,-0.623,-0.948,-83.12,-0.37,-15.38
H1,XGBoost,lot co dinh,0.2,25,2.0,623,-8119.42,-81.19,0.4591,0.86,-0.447,-0.666,-84.71,-0.366,-13.03
H1,XGBoost,lot co dinh,0.2,30,1.5,620,-8101.18,-81.01,0.4581,0.857,-0.694,-0.906,-84.73,-0.364,-13.07
H1,XGBoost,lot co dinh,0.2,30,2.0,1099,-237.14,-2.37,0.4732,0.998,0.331,0.577,-76.8,-0.007,-0.22
H1,XGBoost,lot co dinh,0.3,5,1.5,646,-8156.52,-81.57,0.4087,0.857,-0.786,-2.036,-82.3,-0.38,-12.63
H1,XGBoost,lot co dinh,0.3,5,2.0,514,-8083.53,-80.84,0.3677,0.834,-0.985,-2.366,-83.9,-0.366,-15.73
H1,XGBoost,lot co dinh,0.3,10,1.5,268,-8030.7,-80.31,0.4291,0.785,-0.705,-1.531,-82.19,-0.369,-29.97
H1,XGBoost,lot co dinh,0.3,10,2.0,240,-8037.12,-80.37,0.4125,0.76,-0.736,-1.713,-81.56,-0.372,-33.49
H1,XGBoost,lot co dinh,0.3,15,1.5,221,-8277.84,-82.78,0.4389,0.749,-0.742,-1.275,-84.57,-0.382,-37.46
H1,XGBoost,lot co dinh,0.3,15,2.0,258,-8023.44,-80.23,0.438,0.783,-0.777,-1.349,-84.76,-0.357,-31.1
H1,XGBoost,lot co dinh,0.3,20,1.5,228,-8163.72,-81.64,0.4298,0.765,-0.823,-1.303,-84.09,-0.373,-35.81
H1,XGBoost,lot co dinh,0.3,20,2.0,387,-8452.95,-84.53,0.4522,0.829,-0.579,-0.881,-87.52,-0.388,-21.84
H1,XGBoost,lot co dinh,0.3,25,1.5,195,-8158.41,-81.58,0.4462,0.751,-0.736,-1.101,-84.64,-0.37,-41.84
H1,XGBoost,lot co dinh,0.3,25,2.0,527,-8007.45,-80.07,0.4554,0.884,-0.279,-0.464,-85.19,-0.353,-15.19
H1,XGBoost,lot co dinh,0.3,30,1.5,586,-8354.7,-83.55,0.4608,0.889,-0.372,-0.503,-87.95,-0.375,-14.26
H1,XGBoost,lot co dinh,0.3,30,2.0,619,-8414.73,-84.15,0.4572,0.9,-0.428,-0.572,-90.42,-0.371,-13.59
H1,XGBoost,lot co dinh,0.5,5,1.5,405,-8019.55,-80.2,0.3951,0.87,-0.464,-1.415,-81.47,-0.371,-19.8
H1,XGBoost,lot co dinh,0.5,5,2.0,385,-8041.65,-80.42,0.3532,0.871,-0.675,-1.992,-85.13,-0.357,-20.89
H1,XGBoost,lot co dinh,0.5,10,1.5,55,-8298.65,-82.99,0.3273,0.485,-1.289,-2.112,-85.54,-0.38,-150.88
H1,XGBoost,lot co dinh,0.5,10,2.0,55,-8051.1,-80.51,0.3273,0.488,-1.227,-2.348,-82.4,-0.37,-146.38
H1,XGBoost,lot co dinh,0.5,15,1.5,89,-8283.15,-82.83,0.4045,0.676,-0.793,-1.351,-85.61,-0.378,-93.07
H1,XGBoost,lot co dinh,0.5,15,2.0,208,-8429.5,-84.3,0.4567,0.836,-0.305,-0.551,-89.5,-0.377,-40.53
H1,XGBoost,lot co dinh,0.5,20,1.5,142,-8263.55,-82.64,0.4577,0.783,-0.444,-0.66,-86.18,-0.374,-58.19
H1,XGBoost,lot co dinh,0.5,20,2.0,215,-8673.8,-86.74,0.4558,0.846,-0.348,-0.56,-90.53,-0.399,-40.34
H1,XGBoost,lot co dinh,0.5,25,1.5,130,-9119.55,-91.2,0.4615,0.764,-0.665,-0.792,-93.39,-0.447,-70.15
H1,XGBoost,lot co dinh,0.5,25,2.0,194,-8228.6,-82.29,0.4536,0.847,-0.355,-0.579,-88.75,-0.36,-42.42
H1,XGBoost,lot co dinh,0.5,30,1.5,199,-8245.8,-82.46,0.4523,0.846,-0.558,-0.914,-89.09,-0.36,-41.44
H1,XGBoost,lot co dinh,0.5,30,2.0,585,-8150.45,-81.5,0.4598,0.934,-0.071,-0.1,-91.16,-0.343,-13.93
H1,XGBoost,% rui ro 0.5%,,5,1.5,2861,-4880.19,-48.8,0.4096,0.922,-0.912,-8.617,-51.98,-0.266,-1.71
H1,XGBoost,% rui ro 0.5%,,5,2.0,2564,-3487.34,-34.87,0.3639,0.944,-0.509,-4.91,-44.26,-0.205,-1.36
H1,XGBoost,% rui ro 0.5%,,10,1.5,1582,352.57,3.53,0.4526,1.01,0.128,0.416,-21.3,0.036,0.22
H1,XGBoost,% rui ro 0.5%,,10,2.0,1489,1146.58,11.47,0.4265,1.032,0.285,1.002,-17.32,0.141,0.77
H1,XGBoost,% rui ro 0.5%,,15,1.5,1300,-1015.99,-10.16,0.4585,0.953,-0.284,-0.661,-21.32,-0.11,-0.78
H1,XGBoost,% rui ro 0.5%,,15,2.0,1263,-712.36,-7.12,0.4466,0.967,-0.17,-0.423,-23.88,-0.068,-0.56
H1,XGBoost,% rui ro 0.5%,,20,1.5,1186,-150.02,-1.5,0.4755,0.991,-0.025,-0.049,-14.6,-0.023,-0.13
H1,XGBoost,% rui ro 0.5%,,20,2.0,1171,1383.91,13.84,0.4808,1.079,0.471,1.008,-11.48,0.254,1.18
H1,XGBoost,% rui ro 0.5%,,25,1.5,1138,-297.05,-2.97,0.471,0.978,-0.102,-0.183,-12.02,-0.056,-0.26
H1,XGBoost,% rui ro 0.5%,,25,2.0,1124,198.53,1.99,0.4715,1.015,0.107,0.203,-11.84,0.037,0.18
H1,XGBoost,% rui ro 0.5%,,30,1.5,1108,-540.66,-5.41,0.4684,0.953,-0.247,-0.411,-9.55,-0.128,-0.49
H1,XGBoost,% rui ro 0.5%,,30,2.0,1099,-69.74,-0.7,0.4732,0.994,-0.009,-0.016,-8.88,-0.017,-0.06
H1,XGBoost,% rui ro 1.0%,,5,1.5,2861,-7632.43,-76.32,0.4096,0.915,-0.912,-8.617,-78.78,-0.348,-2.67
