khung,mo_hinh,che_do,lot,cat_lo,rr,so_lenh,loi_nhuan_rong,loi_nhuan_pct,ty_le_thang,he_so_loi_nhuan,sharpe,sortino,sut_giam_toi_da,calmar,ky_vong
M15,Baseline_MACD_EMA,lot co dinh,0.5,25,1.5,252,-8591.75,-85.92,0.4802,0.701,-1.359,-1.354,-85.92,-0.898,-34.09
M15,Baseline_MACD_EMA,lot co dinh,0.5,25,2.0,252,-8591.75,-85.92,0.4802,0.701,-1.359,-1.354,-85.92,-0.898,-34.09
M15,Baseline_MACD_EMA,lot co dinh,0.5,30,1.5,250,-8173.1,-81.73,0.48,0.707,-1.309,-1.347,-81.73,-0.883,-32.69
M15,Baseline_MACD_EMA,lot co dinh,0.5,30,2.0,250,-8173.1,-81.73,0.48,0.707,-1.309,-1.347,-81.73,-0.883,-32.69
M15,Baseline_MACD_EMA,% rui ro 0.5%,,5,1.5,1565,-1059.25,-10.59,0.4409,0.969,-0.353,-1.455,-33.23,-0.243,-0.68
M15,Baseline_MACD_EMA,% rui ro 0.5%,,5,2.0,1429,481.58,4.82,0.4129,1.013,0.276,1.283,-25.8,0.14,0.34
M15,Baseline_MACD_EMA,% rui ro 0.5%,,10,1.5,1083,1138.24,11.38,0.47,1.058,0.694,1.662,-14.73,0.574,1.05
M15,Baseline_MACD_EMA,% rui ro 0.5%,,10,2.0,1032,2953.28,29.53,0.4641,1.149,1.488,3.878,-13.21,1.629,2.86
M15,Baseline_MACD_EMA,% rui ro 0.5%,,15,1.5,950,906.34,9.06,0.4905,1.069,0.708,1.37,-9.9,0.682,0.95
M15,Baseline_MACD_EMA,% rui ro 0.5%,,15,2.0,932,2686.67,26.87,0.4861,1.202,1.715,3.656,-9.47,2.073,2.88
M15,Baseline_MACD_EMA,% rui ro 0.5%,,20,1.5,904,1985.46,19.85,0.5,1.196,1.65,2.955,-8.14,1.795,2.2
M15,Baseline_MACD_EMA,% rui ro 0.5%,,20,2.0,881,2731.69,27.32,0.4972,1.273,2.09,4.015,-7.77,2.566,3.1
M15,Baseline_MACD_EMA,% rui ro 0.5%,,25,1.5,877,1388.54,13.89,0.5017,1.167,1.367,2.278,-6.81,1.511,1.58
M15,Baseline_MACD_EMA,% rui ro 0.5%,,25,2.0,868,1812.55,18.13,0.4988,1.213,1.627,2.906,-6.82,1.96,2.09
M15,Baseline_MACD_EMA,% rui ro 0.5%,,30,1.5,864,865.36,8.65,0.5023,1.12,0.987,1.55,-6.21,1.039,1.0
M15,Baseline_MACD_EMA,% rui ro 0.5%,,30,2.0,858,1698.33,16.98,0.507,1.236,1.719,2.91,-5.97,2.1,1.98
M15,Baseline_MACD_EMA,% rui ro 1.0%,,5,1.5,1565,-2373.39,-23.73,0.4409,0.957,-0.353,-1.455,-56.14,-0.329,-1.52
M15,Baseline_MACD_EMA,% rui ro 1.0%,,5,2.0,1429,413.69,4.14,0.4129,1.006,0.276,1.283,-45.46,0.068,0.29
M15,Baseline_MACD_EMA,% rui ro 1.0%,,10,1.5,1083,2136.57,21.37,0.47,1.055,0.694,1.662,-27.87,0.563,1.97
M15,Baseline_MACD_EMA,% rui ro 1.0%,,10,2.0,1032,6366.47,63.66,0.4641,1.153,1.488,3.878,-25.07,1.792,6.17
M15,Baseline_MACD_EMA,% rui ro 1.0%,,15,1.5,950,1740.89,17.41,0.4905,1.067,0.708,1.37,-19.19,0.669,1.83
M15,Baseline_MACD_EMA,% rui ro 1.0%,,15,2.0,932,5849.51,58.5,0.4861,1.21,1.715,3.656,-18.11,2.289,6.28
M15,Baseline_MACD_EMA,% rui ro 1.0%,,20,1.5,904,4228.74,42.29,0.5,1.201,1.65,2.955,-15.71,1.936,4.68
M15,Baseline_MACD_EMA,% rui ro 1.0%,,20,2.0,881,6040.67,60.41,0.4972,1.28,2.09,4.015,-15.03,2.844,6.86
M15,Baseline_MACD_EMA,% rui ro 1.0%,,25,1.5,877,2877.13,28.77,0.5017,1.167,1.367,2.278,-13.22,1.587,3.28
M15,Baseline_MACD_EMA,% rui ro 1.0%,,25,2.0,868,3838.85,38.39,0.4988,1.213,1.627,2.906,-13.23,2.095,4.42
M15,Baseline_MACD_EMA,% rui ro 1.0%,,30,1.5,864,1738.83,17.39,0.5023,1.118,0.987,1.55,-12.1,1.061,2.01
M15,Baseline_MACD_EMA,% rui ro 1.0%,,30,2.0,858,3596.29,35.96,0.507,1.234,1.719,2.91,-11.63,2.238,4.19
M15,Baseline_MACD_EMA,% rui ro 2.0%,,5,1.5,697,-8005.09,-80.05,0.4132,0.798,-2.501,-7.498,-80.22,-0.876,-11.49
M15,Baseline_MACD_EMA,% rui ro 2.0%,,5,2.0,1429,-1231.74,-12.32,0.4129,0.989,0.276,1.283,-71.93,-0.131,-0.86
M15,Baseline_MACD_EMA,% rui ro 2.0%,,10,1.5,1083,3495.51,34.96,0.47,1.046,0.694,1.662,-49.59,0.511,3.23
M15,Baseline_MACD_EMA,% rui ro 2.0%,,10,2.0,1032,14268.08,142.68,0.4641,1.154,1.488,3.878,-45.05,2.108,13.83
M15,Baseline_MACD_EMA,% rui ro 2.0%,,15,1.5,950,3087.47,30.87,0.4905,1.061,0.708,1.37,-35.88,0.626,3.25
M15,Baseline_MACD_EMA,% rui ro 2.0%,,15,2.0,932,13633.16,136.33,0.4861,1.221,1.715,3.656,-33.31,2.735,14.63
M15,Baseline_MACD_EMA,% rui ro 2.0%,,20,1.5,904,9491.04,94.91,0.5,1.208,1.65,2.955,-29.26,2.232,10.5
M15,Baseline_MACD_EMA,% rui ro 2.0%,,20,2.0,881,14682.42,146.82,0.4972,1.287,2.09,4.015,-28.09,3.47,16.67
M15,Baseline_MACD_EMA,% rui ro 2.0%,,25,1.5,877,6114.62,61.15,0.5017,1.167,1.367,2.278,-24.89,1.737,6.97
M15,Baseline_MACD_EMA,% rui ro 2.0%,,25,2.0,868,8533.36,85.33,0.4988,1.21,1.627,2.906,-24.92,2.373,9.83
M15,Baseline_MACD_EMA,% rui ro 2.0%,,30,1.5,864,3471.91,34.72,0.5023,1.111,0.987,1.55,-22.97,1.096,4.02
M15,Baseline_MACD_EMA,% rui ro 2.0%,,30,2.0,858,8013.91,80.14,0.507,1.227,1.719,2.91,-22.07,2.527,9.34
M15,LSTM,lot co dinh,0.1,5,1.5,1554,-5584.83,-55.85,0.4112,0.865,-1.579,-4.712,-59.84,-0.768,-3.59
M15,LSTM,lot co dinh,0.1,5,2.0,1421,-1834.18,-18.34,0.3899,0.953,-0.437,-1.65,-40.77,-0.347,-1.29
M15,LSTM,lot co dinh,0.1,10,1.5,1084,-1832.83,-18.33,0.452,0.954,-0.137,-0.281,-70.74,-0.2,-1.69
M15,LSTM,lot co dinh,0.1,10,2.0,1037,2858.1,28.58,0.4513,1.076,0.69,1.542,-56.79,0.367,2.76
M15,LSTM,lot co dinh,0.1,15,1.5,971,253.02,2.53,0.4696,1.006,0.307,0.536,-71.11,0.027,0.26
M15,LSTM,lot co dinh,0.1,15,2.0,956,3201.15,32.01,0.4613,1.079,0.67,1.297,-65.03,0.358,3.35
M15,LSTM,lot co dinh,0.1,20,1.5,926,3072.73,30.73,0.4654,1.076,0.632,1.064,-72.42,0.309,3.32
M15,LSTM,lot co dinh,0.1,20,2.0,914,1027.24,10.27,0.4584,1.025,0.402,0.736,-61.68,0.124,1.12
M15,LSTM,lot co dinh,0.1,25,1.5,900,2578.25,25.78,0.4689,1.063,0.591,0.953,-75.2,0.251,2.86
M15,LSTM,lot co dinh,0.1,25,2.0,893,3152.85,31.53,0.4647,1.077,0.634,1.094,-71.91,0.319,3.53
M15,LSTM,lot co dinh,0.1,30,1.5,496,-8017.47,-80.17,0.4315,0.592,-2.119,-2.582,-80.4,-0.876,-16.16
M15,LSTM,lot co dinh,0.1,30,2.0,499,-8130.01,-81.3,0.4309,0.593,-2.111,-2.603,-81.51,-0.88,-16.29
M15,LSTM,lot co dinh,0.2,5,1.5,563,-8005.74,-80.06,0.3979,0.688,-2.568,-4.526,-80.93,-0.869,-14.22
M15,LSTM,lot co dinh,0.2,5,2.0,716,-8021.1,-80.21,0.3841,0.774,-1.584,-3.441,-80.65,-0.874,-11.2
M15,LSTM,lot co dinh,0.2,10,1.5,462,-8126.62,-81.27,0.4307,0.674,-2.178,-3.09,-81.68,-0.877,-17.59
M15,LSTM,lot co dinh,0.2,10,2.0,477,-8069.22,-80.69,0.434,0.694,-1.966,-2.966,-81.12,-0.876,-16.92
M15,LSTM,lot co dinh,0.2,15,1.5,322,-8060.76,-80.61,0.413,0.546,-2.835,-3.24,-81.04,-0.875,-25.03
M15,LSTM,lot co dinh,0.2,15,2.0,336,-8104.54,-81.05,0.4196,0.559,-2.7,-3.21,-81.46,-0.877,-24.12
M15,LSTM,lot co dinh,0.2,20,1.5,322,-8171.62,-81.72,0.4224,0.555,-2.825,-3.079,-82.12,-0.879,-25.38
M15,LSTM,lot co dinh,0.2,20,2.0,322,-8132.3,-81.32,0.4193,0.56,-2.691,-3.056,-81.74,-0.878,-25.26
M15,LSTM,lot co dinh,0.2,25,1.5,315,-8009.5,-80.1,0.4286,0.564,-2.293,-2.394,-80.53,-0.874,-25.43
M15,LSTM,lot co dinh,0.2,25,2.0,315,-8078.04,-80.78,0.4254,0.562,-2.277,-2.407,-81.2,-0.876,-25.64
M15,LSTM,lot co dinh,0.2,30,1.5,314,-8131.5,-81.32,0.4268,0.561,-2.115,-2.205,-81.73,-0.878,-25.9
M15,LSTM,lot co dinh,0.2,30,2.0,314,-8131.5,-81.32,0.4268,0.561,-2.115,-2.205,-81.73,-0.878,-25.9
M15,LSTM,lot co dinh,0.3,5,1.5,382,-8029.83,-80.3,0.4084,0.668,-2.579,-4.152,-81.56,-0.865,-21.02
M15,LSTM,lot co dinh,0.3,5,2.0,381,-8098.41,-80.98,0.3911,0.668,-2.688,-4.561,-81.61,-0.874,-21.26
M15,LSTM,lot co dinh,0.3,10,1.5,326,-8187.06,-81.87,0.4264,0.658,-1.916,-2.512,-82.46,-0.878,-25.11
M15,LSTM,lot co dinh,0.3,10,2.0,328,-8222.76,-82.23,0.4268,0.66,-1.873,-2.554,-82.81,-0.879,-25.07
M15,LSTM,lot co dinh,0.3,15,1.5,266,-8071.53,-80.72,0.4173,0.544,-2.927,-3.261,-81.35,-0.873,-30.34
M15,LSTM,lot co dinh,0.3,15,2.0,266,-8071.53,-80.72,0.4173,0.544,-2.927,-3.261,-81.35,-0.873,-30.34
M15,LSTM,lot co dinh,0.3,20,1.5,271,-8447.52,-84.48,0.428,0.57,-2.337,-2.329,-84.98,-0.887,-31.17
M15,LSTM,lot co dinh,0.3,20,2.0,271,-8447.52,-84.48,0.428,0.57,-2.337,-2.329,-84.98,-0.887,-31.17
M15,LSTM,lot co dinh,0.3,25,1.5,271,-8654.13,-86.54,0.428,0.564,-2.265,-2.167,-86.98,-0.896,-31.93
M15,LSTM,lot co dinh,0.3,25,2.0,271,-8654.13,-86.54,0.428,0.564,-2.265,-2.167,-86.98,-0.896,-31.93
M15,LSTM,lot co dinh,0.3,30,1.5,267,-8104.02,-81.04,0.427,0.567,-2.474,-2.445,-81.66,-0.875,-30.35
M15,LSTM,lot co dinh,0.3,30,2.0,267,-8104.02,-81.04,0.427,0.567,-2.474,-2.445,-81.66,-0.875,-30.35
M15,LSTM,lot co dinh,0.5,5,1.5,272,-8169.2,-81.69,0.4228,0.67,-2.932,-3.94,-83.57,-0.863,-30.03
M15,LSTM,lot co dinh,0.5,5,2.0,268,-8218.3,-82.18,0.4067,0.664,-2.398,-3.662,-83.14,-0.875,-30.67
M15,LSTM,lot co dinh,0.5,10,1.5,232,-8254.2,-82.54,0.431,0.647,-2.227,-2.657,-83.47,-0.876,-35.58
M15,LSTM,lot co dinh,0.5,10,2.0,232,-8254.2,-82.54,0.431,0.647,-2.227,-2.657,-83.47,-0.876,-35.58
M15,LSTM,lot co dinh,0.5,15,1.5,209,-8051.65,-80.52,0.4258,0.614,-2.514,-3.109,-81.56,-0.868,-38.52
M15,LSTM,lot co dinh,0.5,15,2.0,209,-8051.65,-80.52,0.4258,0.614,-2.514,-3.109,-81.56,-0.868,-38.52
M15,LSTM,lot co dinh,0.5,20,1.5,221,-8396.1,-83.96,0.4344,0.628,-2.265,-2.312,-84.82,-0.882,-37.99
M15,LSTM,lot co dinh,0.5,20,2.0,221,-8396.1,-83.96,0.4344,0.628,-2.265,-2.312,-84.82,-0.882,-37.99
M15,LSTM,lot co dinh,0.5,25,1.5,221,-8396.1,-83.96,0.4344,0.628,-2.265,-2.312,-84.82,-0.882,-37.99
M15,LSTM,lot co dinh,0.5,25,2.0,221,-8396.1,-83.96,0.4344,0.628,-2.265,-2.312,-84.82,-0.882,-37.99
M15,LSTM,lot co dinh,0.5,30,1.5,221,-8396.1,-83.96,0.4344,0.628,-2.265,-2.312,-84.82,-0.882,-37.99
M15,LSTM,lot co dinh,0.5,30,2.0,221,-8396.1,-83.96,0.4344,0.628,-2.265,-2.312,-84.82,-0.882,-37.99
M15,LSTM,% rui ro 0.5%,,5,1.5,1554,-4406.04,-44.06,0.4112,0.841,-2.292,-8.492,-46.91,-0.755,-2.84
M15,LSTM,% rui ro 0.5%,,5,2.0,1421,-1886.47,-18.86,0.3899,0.938,-0.702,-2.836,-34.41,-0.423,-1.33
M15,LSTM,% rui ro 0.5%,,10,1.5,1084,-967.73,-9.68,0.452,0.942,-0.558,-1.259,-30.41,-0.243,-0.89
M15,LSTM,% rui ro 0.5%,,10,2.0,1037,1401.3,14.01,0.4513,1.083,0.807,1.999,-25.36,0.409,1.35
M15,LSTM,% rui ro 0.5%,,15,1.5,971,20.03,0.2,0.4696,1.002,0.064,0.121,-21.44,0.007,0.02
M15,LSTM,% rui ro 0.5%,,15,2.0,956,1040.33,10.4,0.4613,1.084,0.743,1.539,-19.84,0.39,1.09
M15,LSTM,% rui ro 0.5%,,20,1.5,926,748.41,7.48,0.4654,1.081,0.691,1.237,-16.92,0.33,0.81
M15,LSTM,% rui ro 0.5%,,20,2.0,914,208.08,2.08,0.4584,1.022,0.221,0.412,-14.55,0.107,0.23
M15,LSTM,% rui ro 0.5%,,25,1.5,900,493.63,4.94,0.4689,1.065,0.544,0.926,-14.18,0.261,0.55
M15,LSTM,% rui ro 0.5%,,25,2.0,893,610.32,6.1,0.4647,1.079,0.626,1.133,-13.62,0.335,0.68
M15,LSTM,% rui ro 0.5%,,30,1.5,893,7.15,0.07,0.4658,1.001,0.04,0.065,-13.26,0.004,0.01
M15,LSTM,% rui ro 0.5%,,30,2.0,890,803.24,8.03,0.4663,1.119,0.862,1.534,-12.95,0.463,0.9
M15,LSTM,% rui ro 1.0%,,5,1.5,1554,-7007.71,-70.08,0.4112,0.814,-2.292,-8.492,-72.98,-0.818,-4.51
M15,LSTM,% rui ro 1.0%,,5,2.0,1421,-3744.45,-37.44,0.3899,0.92,-0.702,-2.836,-57.77,-0.515,-2.64
M15,LSTM,% rui ro 1.0%,,10,1.5,1084,-2005.24,-20.05,0.452,0.929,-0.558,-1.259,-52.04,-0.298,-1.85
M15,LSTM,% rui ro 1.0%,,10,2.0,1037,2698.34,26.98,0.4513,1.089,0.807,1.999,-44.89,0.439,2.6
M15,LSTM,% rui ro 1.0%,,15,1.5,971,-87.95,-0.88,0.4696,0.996,0.064,0.121,-38.49,-0.017,-0.09
M15,LSTM,% rui ro 1.0%,,15,2.0,956,2002.72,20.03,0.4613,1.088,0.743,1.539,-35.98,0.41,2.09
M15,LSTM,% rui ro 1.0%,,20,1.5,926,1446.31,14.46,0.4654,1.085,0.691,1.237,-31.28,0.342,1.56
M15,LSTM,% rui ro 1.0%,,20,2.0,914,315.48,3.15,0.4584,1.018,0.221,0.412,-27.17,0.087,0.35
M15,LSTM,% rui ro 1.0%,,25,1.5,900,937.63,9.38,0.4689,1.067,0.544,0.926,-26.49,0.264,1.04
M15,LSTM,% rui ro 1.0%,,25,2.0,893,1172.74,11.73,0.4647,1.081,0.626,1.133,-25.52,0.341,1.31
M15,LSTM,% rui ro 1.0%,,30,1.5,893,-39.81,-0.4,0.4658,0.997,0.04,0.065,-24.87,-0.012,-0.04
M15,LSTM,% rui ro 1.0%,,30,2.0,890,1595.12,15.95,0.4663,1.125,0.862,1.534,-24.33,0.485,1.79
M15,LSTM,% rui ro 2.0%,,5,1.5,523,-8017.72,-80.18,0.3977,0.689,-3.432,-7.832,-81.77,-0.861,-15.33
M15,LSTM,% rui ro 2.0%,,5,2.0,587,-8019.64,-80.2,0.3816,0.705,-2.81,-7.366,-81.06,-0.869,-13.66
M15,LSTM,% rui ro 2.0%,,10,1.5,1084,-4103.87,-41.04,0.452,0.896,-0.558,-1.259,-77.88,-0.421,-3.79
M15,LSTM,% rui ro 2.0%,,10,2.0,1037,4694.63,46.95,0.4513,1.095,0.807,1.999,-70.9,0.474,4.53
M15,LSTM,% rui ro 2.0%,,15,1.5,971,-665.14,-6.65,0.4696,0.98,0.064,0.121,-62.66,-0.081,-0.69
M15,LSTM,% rui ro 2.0%,,15,2.0,956,3552.56,35.53,0.4613,1.093,0.743,1.539,-59.63,0.431,3.72
M15,LSTM,% rui ro 2.0%,,20,1.5,926,2627.21,26.27,0.4654,1.092,0.691,1.237,-53.61,0.358,2.84
M15,LSTM,% rui ro 2.0%,,20,2.0,914,221.23,2.21,0.4584,1.007,0.221,0.412,-47.5,0.035,0.24
M15,LSTM,% rui ro 2.0%,,25,1.5,900,1646.1,16.46,0.4689,1.069,0.544,0.926,-46.33,0.262,1.83
M15,LSTM,% rui ro 2.0%,,25,2.0,893,2112.2,21.12,0.4647,1.083,0.626,1.133,-44.95,0.345,2.37
M15,LSTM,% rui ro 2.0%,,30,1.5,893,-291.39,-2.91,0.4658,0.986,0.04,0.065,-43.89,-0.05,-0.33
M15,LSTM,% rui ro 2.0%,,30,2.0,890,3100.96,31.01,0.4663,1.137,0.862,1.534,-43.1,0.523,3.48
M15,RandomForest,lot co dinh,0.1,5,1.5,1315,-2824.79,-28.25,0.4221,0.915,-1.021,-3.236,-36.57,-0.605,-2.15
M15,RandomForest,lot co dinh,0.1,5,2.0,1225,-2135.84,-21.36,0.3951,0.934,-0.687,-2.437,-31.07,-0.533,-1.74
M15,RandomForest,lot co dinh,0.1,10,1.5,963,-1106.17,-11.06,0.4496,0.966,-0.169,-0.357,-33.11,-0.255,-1.15
M15,RandomForest,lot co dinh,0.1,10,2.0,943,1309.97,13.1,0.438,1.041,0.478,1.103,-30.61,0.317,1.39
M15,RandomForest,lot co dinh,0.1,15,1.5,890,1025.36,10.25,0.4629,1.03,0.393,0.727,-31.6,0.241,1.15
M15,RandomForest,lot co dinh,0.1,15,2.0,880,6059.65,60.6,0.4693,1.19,1.39,2.775,-31.6,1.357,6.89
M15,RandomForest,lot co dinh,0.1,20,1.5,869,1415.25,14.15,0.4707,1.04,0.462,0.805,-33.68,0.311,1.63
M15,RandomForest,lot co dinh,0.1,20,2.0,861,2263.29,22.63,0.4681,1.063,0.614,1.138,-33.68,0.493,2.63
M15,RandomForest,lot co dinh,0.1,25,1.5,856,78.76,0.79,0.4708,1.002,0.213,0.345,-34.55,0.017,0.09
M15,RandomForest,lot co dinh,0.1,25,2.0,855,2307.79,23.08,0.4737,1.061,0.583,1.002,-34.55,0.49,2.7
M15,RandomForest,lot co dinh,0.1,30,1.5,851,-4665.31,-46.65,0.4665,0.888,-0.537,-0.792,-58.71,-0.642,-5.48
M15,RandomForest,lot co dinh,0.1,30,2.0,850,-1978.89,-19.79,0.4659,0.953,-0.062,-0.102,-39.79,-0.385,-2.33
M15,RandomForest,lot co dinh,0.2,5,1.5,1315,-5649.58,-56.5,0.4221,0.915,-0.516,-1.353,-73.15,-0.637,-4.3
M15,RandomForest,lot co dinh,0.2,5,2.0,1225,-4271.68,-42.72,0.3951,0.934,-0.32,-1.032,-62.14,-0.552,-3.49
M15,RandomForest,lot co dinh,0.2,10,1.5,963,-2212.34,-22.12,0.4496,0.966,0.192,0.393,-66.21,-0.259,-2.3
M15,RandomForest,lot co dinh,0.2,10,2.0,943,2619.94,26.2,0.438,1.041,0.593,1.265,-61.21,0.313,2.78
M15,RandomForest,lot co dinh,0.2,15,1.5,890,2050.72,20.51,0.4629,1.03,0.575,1.011,-63.19,0.239,2.3
M15,RandomForest,lot co dinh,0.2,15,2.0,880,12119.3,121.19,0.4693,1.19,1.194,2.193,-63.19,1.295,13.77
M15,RandomForest,lot co dinh,0.2,20,1.5,869,2830.5,28.3,0.4707,1.04,0.643,1.092,-67.36,0.307,3.26
M15,RandomForest,lot co dinh,0.2,20,2.0,861,4526.58,45.27,0.4681,1.063,0.745,1.339,-67.36,0.482,5.26
M15,RandomForest,lot co dinh,0.2,25,1.5,856,157.52,1.58,0.4708,1.002,0.549,0.894,-69.1,0.017,0.18
M15,RandomForest,lot co dinh,0.2,25,2.0,855,4615.58,46.16,0.4737,1.061,0.799,1.356,-69.1,0.479,5.4
M15,RandomForest,lot co dinh,0.2,30,1.5,574,-8112.62,-81.13,0.453,0.827,-0.345,-0.502,-81.13,-0.882,-14.13
M15,RandomForest,lot co dinh,0.2,30,2.0,850,-3957.78,-39.58,0.4659,0.953,0.611,1.058,-79.58,-0.397,-4.66
M15,RandomForest,lot co dinh,0.3,5,1.5,615,-8126.1,-81.26,0.4211,0.803,-1.497,-3.125,-81.26,-0.882,-13.21
M15,RandomForest,lot co dinh,0.3,5,2.0,888,-8031.0,-80.31,0.4065,0.876,-0.634,-1.669,-80.31,-0.879,-9.04
M15,RandomForest,lot co dinh,0.3,10,1.5,220,-8002.2,-80.02,0.4045,0.485,-3.292,-4.406,-80.02,-0.878,-36.37
M15,RandomForest,lot co dinh,0.3,10,2.0,221,-8190.81,-81.91,0.3982,0.484,-3.342,-4.252,-81.91,-0.884,-37.06
M15,RandomForest,lot co dinh,0.3,15,1.5,222,-8028.81,-80.29,0.3874,0.496,-3.387,-4.09,-80.29,-0.879,-36.17
M15,RandomForest,lot co dinh,0.3,15,2.0,222,-8028.81,-80.29,0.3874,0.496,-3.387,-4.09,-80.29,-0.879,-36.17
M15,RandomForest,lot co dinh,0.3,20,1.5,219,-8009.73,-80.1,0.3927,0.496,-3.259,-3.744,-80.1,-0.878,-36.57
M15,RandomForest,lot co dinh,0.3,20,2.0,219,-8009.73,-80.1,0.3927,0.496,-3.259,-3.744,-80.1,-0.878,-36.57
M15,RandomForest,lot co dinh,0.3,25,1.5,219,-8009.73,-80.1,0.3927,0.496,-3.259,-3.744,-80.1,-0.878,-36.57
M15,RandomForest,lot co dinh,0.3,25,2.0,219,-8009.73,-80.1,0.3927,0.496,-3.259,-3.744,-80.1,-0.878,-36.57
M15,RandomForest,lot co dinh,0.3,30,1.5,219,-8009.73,-80.1,0.3927,0.496,-3.259,-3.744,-80.1,-0.878,-36.57
M15,RandomForest,lot co dinh,0.3,30,2.0,219,-8009.73,-80.1,0.3927,0.496,-3.259,-3.744,-80.1,-0.878,-36.57
M15,RandomForest,lot co dinh,0.5,5,1.5,195,-8208.1,-82.08,0.3846,0.598,-2.702,-4.107,-82.08,-0.885,-42.09
M15,RandomForest,lot co dinh,0.5,5,2.0,190,-8199.3,-81.99,0.3947,0.587,-2.295,-3.717,-81.99,-0.884,-43.15
M15,RandomForest,lot co dinh,0.5,10,1.5,143,-8070.2,-80.7,0.3846,0.51,-1.843,-3.143,-80.7,-0.88,-56.43
M15,RandomForest,lot co dinh,0.5,10,2.0,144,-8243.2,-82.43,0.375,0.512,-1.841,-3.099,-82.43,-0.886,-57.24
M15,RandomForest,lot co dinh,0.5,15,1.5,143,-8087.25,-80.87,0.3636,0.528,-2.173,-3.286,-80.87,-0.881,-56.55
M15,RandomForest,lot co dinh,0.5,15,2.0,143,-8087.25,-80.87,0.3636,0.528,-2.173,-3.286,-80.87,-0.881,-56.55
M15,RandomForest,lot co dinh,0.5,20,1.5,144,-8063.9,-80.64,0.3611,0.529,-2.256,-3.486,-80.64,-0.88,-56.0
M15,RandomForest,lot co dinh,0.5,20,2.0,144,-8063.9,-80.64,0.3611,0.529,-2.256,-3.486,-80.64,-0.88,-56.0
M15,RandomForest,lot co dinh,0.5,25,1.5,144,-8063.9,-80.64,0.3611,0.529,-2.256,-3.486,-80.64,-0.88,-56.0
M15,RandomForest,lot co dinh,0.5,25,2.0,144,-8063.9,-80.64,0.3611,0.529,-2.256,-3.486,-80.64,-0.88,-56.0
M15,RandomForest,lot co dinh,0.5,30,1.5,144,-8063.9,-80.64,0.3611,0.529,-2.256,-3.486,-80.64,-0.88,-56.0
M15,RandomForest,lot co dinh,0.5,30,2.0,144,-8063.9,-80.64,0.3611,0.529,-2.256,-3.486,-80.64,-0.88,-56.0
M15,RandomForest,% rui ro 0.5%,,5,1.5,1315,-2596.87,-25.97,0.4221,0.901,-1.285,-4.296,-31.55,-0.642,-1.97
M15,RandomForest,% rui ro 0.5%,,5,2.0,1225,-2087.28,-20.87,0.3951,0.92,-0.914,-3.321,-27.83,-0.581,-1.7
M15,RandomForest,% rui ro 0.5%,,10,1.5,963,-613.14,-6.13,0.4496,0.958,-0.38,-0.802,-15.49,-0.3,-0.64
M15,RandomForest,% rui ro 0.5%,,10,2.0,943,576.65,5.77,0.438,1.038,0.413,0.958,-14.39,0.3,0.61
M15,RandomForest,% rui ro 0.5%,,15,1.5,890,294.71,2.95,0.4629,1.027,0.292,0.541,-10.03,0.22,0.33
M15,RandomForest,% rui ro 0.5%,,15,2.0,880,2164.81,21.65,0.4693,1.199,1.597,3.249,-10.03,1.585,2.46
M15,RandomForest,% rui ro 0.5%,,20,1.5,869,321.44,3.21,0.4707,1.037,0.354,0.61,-8.1,0.298,0.37
M15,RandomForest,% rui ro 0.5%,,20,2.0,861,537.47,5.37,0.4681,1.061,0.533,0.974,-8.1,0.496,0.62
M15,RandomForest,% rui ro 0.5%,,25,1.5,856,-13.28,-0.13,0.4708,0.998,0.018,0.029,-6.69,-0.015,-0.02
M15,RandomForest,% rui ro 0.5%,,25,2.0,855,437.38,4.37,0.4737,1.059,0.489,0.837,-6.69,0.489,0.51
M15,RandomForest,% rui ro 0.5%,,30,1.5,851,-769.8,-7.7,0.4665,0.884,-0.984,-1.461,-9.51,-0.616,-0.9
M15,RandomForest,% rui ro 0.5%,,30,2.0,850,-350.62,-3.51,0.4659,0.948,-0.388,-0.62,-6.57,-0.404,-0.41
M15,RandomForest,% rui ro 1.0%,,5,1.5,1315,-4714.93,-47.15,0.4221,0.886,-1.285,-4.296,-54.38,-0.701,-3.59
M15,RandomForest,% rui ro 1.0%,,5,2.0,1225,-3989.6,-39.9,0.3951,0.905,-0.914,-3.321,-49.48,-0.644,-3.26
M15,RandomForest,% rui ro 1.0%,,10,1.5,963,-1327.65,-13.28,0.4496,0.949,-0.38,-0.802,-28.98,-0.351,-1.38
M15,RandomForest,% rui ro 1.0%,,10,2.0,943,978.44,9.78,0.438,1.034,0.413,0.958,-27.05,0.269,1.04
M15,RandomForest,% rui ro 1.0%,,15,1.5,890,490.1,4.9,0.4629,1.023,0.292,0.541,-19.28,0.19,0.55
M15,RandomForest,% rui ro 1.0%,,15,2.0,880,4621.92,46.22,0.4693,1.207,1.597,3.249,-19.13,1.732,5.25
M15,RandomForest,% rui ro 1.0%,,20,1.5,869,573.95,5.74,0.4707,1.034,0.354,0.61,-15.6,0.275,0.66
M15,RandomForest,% rui ro 1.0%,,20,2.0,861,1010.71,10.11,0.4681,1.058,0.533,0.974,-15.6,0.482,1.17
M15,RandomForest,% rui ro 1.0%,,25,1.5,856,-84.16,-0.84,0.4708,0.994,0.018,0.029,-12.98,-0.049,-0.1
M15,RandomForest,% rui ro 1.0%,,25,2.0,855,821.52,8.22,0.4737,1.057,0.489,0.837,-12.98,0.472,0.96
