thoi_diem,do_dai_nghi_gio,xau_dong_truoc,xau_mo_that,khoang_trong_that,uoc_khong_doi,uoc_giu_delta,uoc_mo_hinh,paxg_khoang_trong,sai_so_khong_doi,sai_so_giu_delta,sai_so_mo_hinh
2020-10-04 22:00:00+00:00,50.0,1898.868,1903.828,4.960000000000036,1898.868,1893.8813829286228,1901.5515353780754,-4.986617071377168,-4.960000000000036,-9.946617071377204,-2.2764646219245606
2020-10-11 22:00:00+00:00,50.0,1929.618,1928.788,-0.8299999999999272,1929.618,1932.666486363341,1937.4611594286716,3.0484863633409987,0.8299999999999272,3.878486363340926,8.673159428671624
2020-10-18 22:00:00+00:00,50.0,1898.968,1899.668,0.6999999999998181,1898.968,1904.4445093462934,1899.1677228851124,5.476509346293369,-0.6999999999998181,4.776509346293551,-0.5002771148874672
2020-10-25 22:00:00+00:00,50.0,1901.258,1903.298,2.0399999999999636,1901.258,1898.380216384041,1903.433519161688,-2.8777836159590606,-2.0399999999999636,-4.917783615959024,0.1355191616880802
2020-11-01 23:00:00+00:00,51.0,1878.438,1876.928,-1.509999999999991,1878.438,1880.6077969240562,1885.4925969752367,2.1697969240560724,1.509999999999991,3.6797969240560633,8.564596975236554
2020-11-08 23:00:00+00:00,50.0,1950.298,1954.688,4.3900000000001,1950.298,1954.2304498158128,1950.4391003231092,3.932449815812788,-4.3900000000001,-0.45755018418731197,-4.248899676890915
2020-11-15 23:00:00+00:00,50.0,1888.288,1888.138,-0.15000000000009095,1888.288,1891.455212312915,1891.9706349706082,3.1672123129148986,0.15000000000009095,3.3172123129149895,3.8326349706082965
2020-11-22 23:00:00+00:00,50.0,1870.318,1869.943,-0.375,1870.318,1871.4623161833908,1866.4477181354143,1.1443161833908562,0.375,1.5193161833908562,-3.4952818645856496
2020-11-29 23:00:00+00:00,53.0,1786.648,1787.208,0.5600000000001728,1786.648,1782.3008107694857,1787.4206977745546,-4.347189230514232,-0.5600000000001728,-4.907189230514405,0.21269777455449912
2020-12-06 23:00:00+00:00,50.0,1838.208,1838.528,0.31999999999993634,1838.208,1842.317585848332,1835.3029504656704,4.109585848332017,-0.31999999999993634,3.789585848332081,-3.225049534329628
2020-12-13 23:00:00+00:00,50.0,1838.998,1840.698,1.7000000000000455,1838.998,1836.898954478501,1842.8335662363056,-2.099045521498965,-1.7000000000000455,-3.7990455214990106,2.1355662363055217
2020-12-20 23:00:00+00:00,50.0,1880.838,1883.818,2.980000000000018,1880.838,1879.244268182671,1882.111760600619,-1.593731817328944,-2.980000000000018,-4.573731817328962,-1.7062393993810474
2020-12-27 23:00:00+00:00,77.0,1879.125,1882.921,3.796000000000049,1879.125,1911.3304367925941,1878.6007395432866,32.20543679259413,-3.796000000000049,28.40943679259408,-4.320260456713413
2021-01-03 23:00:00+00:00,74.0,1897.765,1904.998,7.232999999999947,1897.765,1916.995940364041,1895.6902676765424,19.230940364040862,-7.232999999999947,11.997940364040915,-9.307732323457685
2021-01-10 23:00:00+00:00,50.0,1848.508,1849.163,0.6549999999999727,1848.508,1892.9966968664976,1837.586539101335,44.48869686649755,-0.6549999999999727,43.833696866497576,-11.576460898665118
