khung,thanh_phan,mae_usd,rmse_usd,mape_pct,sai_so_max_usd
D1,open,1.4496,3.3742,0.05429,44.481
D1,high,7.6199,18.5972,0.29381,415.232
D1,low,6.3883,15.6801,0.25752,359.437
D1,close,7.2568,11.02,0.29031,99.079
