khung,thanh_phan,nhom_chan_troi,n,r2_mo_hinh,r2_giu_delta
D1,close,1 nen,209,0.5713939566671509,0.666154567773562
D1,close,2-4,418,0.446152643521055,0.39667025580047677
D1,high,1 nen,209,0.5674898074658914,0.5549318480932371
D1,high,2-4,418,0.21236893224984466,0.27946006263892176
D1,low,1 nen,209,0.4642948031982802,0.6255376240604422
D1,low,2-4,418,0.33729917382658947,0.3081749587638929
D1,open,1 nen,209,0.6017709746941012,0.5823225877026177
D1,open,2-4,418,0.4010675660961539,0.40950196358445423
