khung,thanh_phan,n,delta_tb,delta_do_lech_chuan,nua_doi_song_nen,adf_thong_ke,adf_p,adf_cv5,ket_luan
M15,open,126166,-0.0008640131714855098,0.006846416867577827,43.33854501407,-10.106780534864079,1.0249670797589723e-17,-2.8615629216912524,dong tich hop (Delta dung)
M15,high,126166,-0.0011116525275953752,0.007017837969399552,35.04319336537713,-10.335590747028188,2.7694004865548718e-18,-2.8615629220548215,dong tich hop (Delta dung)
M15,low,126166,-0.000602773689490162,0.0067714551484260935,36.95615399676568,-10.084208276976343,1.166964019276783e-17,-2.8615629222366104,dong tich hop (Delta dung)
M15,close,126166,-0.0008512127945017093,0.006831847695984476,42.1037598477584,-10.354011454670701,2.4938571244058092e-18,-2.86156292041885,dong tich hop (Delta dung)
