thoi_diem,do_dai_nghi_gio,xau_dong_truoc,xau_mo_that,khoang_trong_that,uoc_khong_doi,uoc_giu_delta,uoc_mo_hinh,paxg_khoang_trong,sai_so_khong_doi,sai_so_giu_delta,sai_so_mo_hinh
2022-09-18 22:00:00+00:00,72.0,1673.898,1675.958,2.060000000000173,1673.898,1676.410102850537,1676.756503841537,2.512102850537076,-2.060000000000173,0.45210285053690313,0.7985038415370127
2022-09-25 22:00:00+00:00,72.0,1643.598,1643.458,-0.13999999999987267,1643.598,1640.7517240390803,1643.6484331074873,-2.8462759609196837,0.13999999999987267,-2.706275960919811,0.19043310748725162
2022-10-02 22:00:00+00:00,72.0,1659.978,1662.198,2.2200000000000273,1659.978,1660.1503270104076,1662.3916492363733,0.17232701040757092,-2.2200000000000273,-2.0476729895924564,0.19364923637317588
2022-10-09 22:00:00+00:00,72.0,1694.458,1695.464,1.0059999999998581,1694.458,1694.6274457999994,1699.5481234636036,0.16944579999926646,-1.0059999999998581,-0.8365542000005917,4.084123463603646
2022-10-16 22:00:00+00:00,72.0,1643.618,1644.068,0.4500000000000455,1643.618,1647.9636649294146,1645.6290505298073,4.345664929414625,-0.4500000000000455,3.895664929414579,1.5610505298072894
2022-10-23 22:00:00+00:00,72.0,1657.298,1657.608,0.30999999999994543,1657.298,1665.5046910908625,1657.4907537707354,8.206691090862478,-0.30999999999994543,7.896691090862532,-0.11724622926453776
2022-10-30 22:00:00+00:00,72.0,1644.498,1643.398,-1.1000000000001364,1644.498,1644.3336816546755,1648.034861717121,-0.1643183453245456,1.1000000000001364,0.9356816546755908,4.636861717121064
2022-11-06 22:00:00+00:00,72.0,1681.148,1674.327,-6.820999999999913,1681.148,1674.6073191113173,1674.3989434960035,-6.540680888682573,6.820999999999913,0.2803191113173398,0.07194349600354144
2022-11-13 22:00:00+00:00,72.0,1771.198,1765.917,-5.281000000000176,1771.198,1734.5956005786518,1784.062361189567,-36.60239942134831,5.281000000000176,-31.321399421348133,18.145361189566984
2022-11-20 22:00:00+00:00,72.0,1750.398,1749.817,-0.5809999999999036,1750.398,1758.6523472445567,1745.9047318583443,8.254347244556811,0.5809999999999036,8.835347244556715,-3.912268141655659
2022-11-27 22:00:00+00:00,72.0,1754.417,1755.787,1.3700000000001182,1754.417,1752.2356345910473,1756.4771789131546,-2.1813654089526153,-1.3700000000001182,-3.5513654089527336,0.6901789131545684
2022-12-04 22:00:00+00:00,72.0,1797.248,1795.937,-1.3110000000001492,1797.248,1801.1651568645423,1798.860109240344,3.9171568645422212,1.3110000000001492,5.22815686454237,2.923109240344047
2022-12-11 22:00:00+00:00,72.0,1795.397,1795.687,0.2899999999999636,1795.397,1798.9385324034677,1794.0740484291757,3.541532403467727,-0.2899999999999636,3.2515324034677633,-1.6129515708241797
2022-12-18 22:00:00+00:00,72.0,1792.598,1792.257,-0.3409999999998945,1792.598,1787.365879862392,1785.8826192072406,-5.232120137608035,0.3409999999998945,-4.891120137608141,-6.374380792759439
2022-12-26 22:00:00+00:00,96.0,1798.198,1800.047,1.8489999999999327,1798.198,1791.5080329399302,1802.5662413390812,-6.6899670600698755,-1.8489999999999327,-8.538967060069808,2.5192413390811907
2023-01-02 22:00:00+00:00,96.0,1823.463,1826.837,3.3740000000000236,1823.463,1824.2815206375728,1820.725287707316,0.818520637572874,-3.3740000000000236,-2.5554793624271497,-6.111712292683933
2023-01-08 22:00:00+00:00,72.0,1865.598,1867.537,1.9390000000000782,1865.598,1869.8843388503456,1851.9159723379585,4.286338850345601,-1.9390000000000782,2.3473388503455226,-15.62102766204157
2023-01-15 22:00:00+00:00,72.0,1919.398,1920.337,0.9390000000000782,1919.398,1925.2293335419397,1908.2679895996746,5.8313335419397845,-0.9390000000000782,4.892333541939706,-12.069010400325396
2023-01-22 22:00:00+00:00,72.0,1925.298,1926.128,0.8299999999999272,1925.298,1927.3182497376713,1920.0533014316802,2.0202497376712927,-0.8299999999999272,1.1902497376713654,-6.074698568319718
2023-01-29 22:00:00+00:00,72.0,1927.598,1927.108,-0.4900000000000091,1927.598,1925.9892601227402,1924.6118340771545,-1.6087398772597226,0.4900000000000091,-1.1187398772597135,-2.496165922845421
2023-02-05 22:00:00+00:00,72.0,1864.548,1864.508,-0.03999999999996362,1864.548,1852.2245947186507,1874.31504914441,-12.323405281349324,0.03999999999996362,-12.28340528134936,9.80704914441003
2023-02-12 22:00:00+00:00,72.0,1864.698,1863.917,-0.7810000000001764,1864.698,1866.0695449118311,1842.8981060518565,1.3715449118310516,0.7810000000001764,2.152544911831228,-21.018893948143386
2023-02-19 22:00:00+00:00,72.0,1841.898,1840.407,-1.4909999999999854,1841.898,1847.0632949983637,1829.0736745094985,5.165294998363834,1.4909999999999854,6.656294998363819,-11.333325490501466
2023-02-26 22:00:00+00:00,72.0,1810.665,1810.758,0.09300000000007458,1810.665,1806.2801162135145,1807.0286641473133,-4.384883786485489,-0.09300000000007458,-4.477883786485563,-3.729335852686745
2023-03-05 22:00:00+00:00,72.0,1855.798,1854.644,-1.1539999999999964,1855.798,1860.1998914833816,1850.0533802037617,4.4018914833816325,1.1539999999999964,5.555891483381629,-4.590619796238343
2023-03-12 22:00:00+00:00,72.0,1867.448,1872.398,4.949999999999818,1867.448,1915.4432366736376,1885.8630111149362,47.995236673637464,-4.949999999999818,43.045236673637646,13.46501111493626
