khung,thanh_phan,n,delta_tb,delta_do_lech_chuan,nua_doi_song_nen,adf_thong_ke,adf_p,adf_cv5,ket_luan
D1,open,1379,-0.0012561957984347355,0.007203848835058315,3.0355502898131506,-4.935783791616784,2.969220195136924e-05,-2.863651979448174,dong tich hop (Delta dung)
D1,high,1379,-0.0022587649458350087,0.0092500276502749,1.8761399205940898,-5.321521996753926,4.940685680696963e-06,-2.863653523836867,dong tich hop (Delta dung)
D1,low,1379,-0.00010771322983983142,0.007524059994443243,1.7946107839109215,-4.877422892219905,3.858050621948344e-05,-2.863651979448174,dong tich hop (Delta dung)
D1,close,1379,-0.0010261484116683762,0.0068367386123019186,3.230890951922442,-4.679692904860378,9.186364628206725e-05,-2.863651979448174,dong tich hop (Delta dung)
