thoi_diem,xau_dong,xau_mo_that,r_xau_nghi,r_paxg_nghi,uoc_beta0_khong_doi,uoc_beta090_pp_cu_xap_xi,uoc_beta1_giu_delta,uoc_beta015_toi_uu,uoc_pp_cu_nguyen_van,so_moc_247,bien_dong_uoc_247
2020-08-30 22:00:00+00:00,1964.428,1965.378,0.0004834844358757932,0.0038276017796752,1964.428,1971.2068125620797,1971.9614564470673,1965.5561810524214,1945.053385634142,197,0.02366208208172591
2020-09-06 22:00:00+00:00,1933.298,1929.788,-0.0018172005313362005,-0.0031382555154536693,1933.298,1927.845239294903,1927.2403271227997,1932.3881367038375,1905.9677023323961,197,0.029217482531166364
2020-09-07 22:00:00+00:00,1927.998,1929.298,0.0006740473374198641,0.0006298757494412914,1927.998,1929.0912691180438,1929.2127817257833,1928.1801684834033,1946.9673982691017,21,0.00964364139162325
2020-09-13 22:00:00+00:00,1938.928,1940.548,0.0008351643851706857,-0.006193412090645725,1938.928,1928.1503435096984,1926.9565302717185,1937.1275494317022,1892.5966712590184,197,0.02411042003319318
2020-09-20 22:00:00+00:00,1949.718,1949.588,-6.667853205076491e-05,-0.002005598996356224,1949.718,1946.2018571247813,1945.8115662153068,1949.1315353507948,1944.6288513140366,197,0.024845845077298964
2020-09-27 22:00:00+00:00,1860.998,1859.448,-0.0008332334831241085,0.002806940727422674,1860.998,1865.7052833478124,1866.229049267888,1861.7817216399144,1885.3734261586412,197,0.02455347672881773
2020-10-04 22:00:00+00:00,1898.868,1903.828,0.0026086770085298043,-0.0026295541525494224,1898.868,1894.3794547765895,1893.8813829286232,1898.1191712559569,1953.4440505070177,197,0.023047623051490156
2020-10-11 22:00:00+00:00,1929.618,1928.788,-0.0004302294848195997,0.0015785926734100902,1929.618,1932.3614211271108,1932.6664863633418,1930.0749662257222,1968.220877365561,197,0.024151810796857742
2020-10-18 22:00:00+00:00,1898.968,1899.668,0.00036855334805614026,0.0028797891985917028,1898.968,1903.8961484355414,1904.4445093462934,1899.7884713263074,1854.774721873014,197,0.023940569166517784
2020-10-25 22:00:00+00:00,1901.258,1903.298,0.0010723985639883378,-0.0015147674606552138,1901.258,1898.667798622475,1898.3802163840408,1900.8260545112246,1901.6368452917895,197,0.022957495856357438
2020-11-01 23:00:00+00:00,1878.438,1876.928,-0.0008041826449819485,0.0011544403991096983,1878.438,1880.3907044937464,1880.6077969240564,1878.7633098726649,1905.775711213504,201,0.025715709468616794
2020-11-08 23:00:00+00:00,1950.298,1954.688,0.0022484084959137987,0.0020143027236125604,1950.298,1953.836848287011,1954.2304498158117,1950.8873626181094,1950.8416911950055,197,0.022759182477331164
2020-11-15 23:00:00+00:00,1888.288,1888.138,-7.944019031691716e-05,0.0016758879512678354,1888.288,1891.1382521730727,1891.4552123129147,1888.7627435349311,1862.8381707641304,197,0.018497462361025886
2020-11-22 23:00:00+00:00,1870.318,1869.943,-0.00020052076646869042,0.0006116426526247359,1870.318,1871.347853066416,1871.46231618339,1870.4896028112655,1864.7291247497103,197,0.02003680814795227
2020-11-26 23:00:00+00:00,1810.184,1809.463,-0.00039838139439321883,0.0014012621766596128,1810.184,1812.4683282562864,1812.7223203828264,1810.564521345161,1811.4206816414228,21,0.008905040283307701
2020-11-29 23:00:00+00:00,1786.648,1787.208,0.00031338699969070204,-0.0018089906265422303,1786.648,1783.7415400969955,1783.4188921086136,1786.1632613468107,1787.38080195605,210,0.02592981989236014
2020-12-06 23:00:00+00:00,1838.208,1838.528,0.00017406743416336409,0.0022331525540802183,1838.208,1841.9062141606023,1842.3175858483323,1838.8238529747846,1855.1089834812326,197,0.02080571499438779
2020-12-13 23:00:00+00:00,1838.998,1840.698,0.0009239894387736258,-0.001142059081437965,1838.998,1837.10875117155,1836.8989544785024,1838.6829903277478,1831.3706630335105,197,0.020949907750993906
2020-12-20 23:00:00+00:00,1880.838,1883.818,0.0015831463073443643,-0.0008477111930527254,1880.838,1879.4035805751826,1879.244268182671,1880.5988540910841,1876.6044609140233,197,0.02393159805313846
2020-12-21 18:00:00+00:00,1882.038,1877.905,-0.0021984384681422563,-0.0006536739215924979,1882.038,1880.931110383078,1880.808162839985,1881.853473172669,1881.2793594807063,1,0.0004031764834603
2020-12-27 23:00:00+00:00,1879.125,1882.921,0.002018051500846957,0.01728793781713276,1879.125,1908.5912166435153,1911.8936310449205,1884.0042531051465,1878.1980269651135,302,0.02890720526075826
2021-01-03 23:00:00+00:00,1897.765,1904.998,0.003804080728886599,0.010082468378165097,1897.765,1915.0641093139861,1916.9959403640396,1900.637294779375,1867.8397751396162,293,0.039515515122229214
2021-01-10 23:00:00+00:00,1848.508,1849.163,0.00035427706080439105,0.02378230008713037,1848.508,1888.500064448096,1892.9966968664967,1855.114041804885,1785.8323391527845,197,0.02770141075480351
2021-01-17 23:00:00+00:00,1827.478,1828.608,0.0006181474046188063,0.005656673833265915,1827.478,1836.8054251299268,1837.844739973981,1829.0292750837377,1839.0282629627866,197,0.021312292329663782
2021-01-18 23:00:00+00:00,1837.338,1837.558,0.00011973127961324033,0.0018355824366404342,1837.338,1840.375835424582,1840.7136825869813,1837.8439574557458,1845.523013795621,21,0.00708595181167924
2021-01-24 23:00:00+00:00,1855.198,1854.187,-0.0005451038514654243,0.0006402947659356083,1855.198,1856.267394310074,1856.3862539449688,1855.3761895922792,1824.0708141304958,197,0.02248521257024254
2021-01-31 23:00:00+00:00,1847.048,1863.422,0.008825893371724625,-0.0013530789871016014,1847.048,1844.8000873460467,1844.5504882094356,1846.673157765078,1815.3251506680474,197,0.019905219192157545
2021-02-07 23:00:00+00:00,1814.048,1816.958,0.0016028619192713911,0.004697465307618011,1814.048,1821.7335194518414,1822.5894734775534,1815.3266645652322,1813.9392156331157,197,0.019176139106189153
2021-02-14 23:00:00+00:00,1823.648,1825.118,0.0008057519060040632,0.008957441306160174,1823.648,1838.4091178168426,1840.056599744776,1826.0999298459174,1845.87726062734,197,0.02236934655894086
2021-02-15 23:00:00+00:00,1818.438,1818.918,0.00026392797558771755,0.0019568845145991206,1818.438,1821.6434477290654,1821.9999571957187,1818.971849321721,1825.5545660425803,21,0.004667425650920277
2021-02-21 23:00:00+00:00,1783.398,1781.546,-0.0010390065967981713,0.008681758222357033,1783.398,1797.3873093629736,1798.948435135926,1785.7219674183457,1874.2514323503515,197,0.024172587242651616
2021-02-28 23:00:00+00:00,1733.188,1732.746,-0.0002550539060444146,0.006685490105481088,1733.188,1743.6479269273198,1744.814030778966,1734.9269534697248,1830.3900700475992,197,0.022915507484894442
2021-03-07 23:00:00+00:00,1699.398,1701.718,0.0013642582962958983,0.00479303031720089,1699.398,1706.744573686943,1707.5628176132159,1700.6202292312335,1646.3349597913843,191,0.01826243752015774
2021-03-14 22:00:00+00:00,1726.958,1727.188,0.0001331732939718235,0.0004335929324450417,1726.958,1727.632048614755,1727.7069591433913,1727.070323170165,1797.987542053141,193,0.019917274589793338
2021-03-21 22:00:00+00:00,1744.858,1746.009,0.000659435058230383,-0.002446276055589632,1744.858,1741.020661873592,1740.59481224726,1744.2178568028353,1786.9287902323022,197,0.021019807959260946
2021-03-28 22:00:00+00:00,1731.808,1731.268,-0.0003118614805892275,0.004502097950075604,1731.808,1738.839327779016,1739.6223465244552,1732.9779103713786,1743.9573219530612,197,0.02103102643307209
2021-04-04 22:00:00+00:00,1728.805,1727.929,-0.0005068368111359022,0.009834660528488524,1728.805,1744.1749099520566,1745.8910905305697,1731.3572135929678,1753.308137582707,293,0.03208250280884433
2021-04-11 22:00:00+00:00,1743.028,1743.378,0.00020077982952969385,0.007762666577323632,1743.028,1755.24812832571,1756.611197908063,1745.0587638611003,1774.9009354128639,197,0.0205450197555901
2021-04-18 22:00:00+00:00,1775.748,1776.998,0.0007036810689984975,-0.001736248727589689,1775.748,1772.9753406910093,1772.66753479523,1775.2855891862998,1759.3296221703524,197,0.02464151861117233
2021-04-25 22:00:00+00:00,1776.818,1775.852,-0.0005438163543513498,0.004864245280485043,1776.818,1784.6136422253683,1785.481933235939,1778.114904862833,1787.2303849577713,179,0.021656133336914806
2021-05-02 22:00:00+00:00,1768.428,1768.87,0.00024990826461337615,0.004299781558217186,1768.428,1775.2847272276306,1776.0482250126242,1769.568946012061,1767.8885291495271,197,0.020004863285273372
2021-05-09 22:00:00+00:00,1830.618,1833.43,0.0015349146911180858,0.014850040200317194,1830.618,1855.2485029512736,1858.0056010805456,1834.7002575724534,1864.8077741281181,197,0.023307727032892567
2021-05-16 22:00:00+00:00,1842.688,1844.528,0.0009980430507644381,0.04670289930368162,1842.688,1921.7918086650282,1930.7881249479692,1855.64215257481,1880.187612670871,197,0.029752081790573103
2021-05-23 22:00:00+00:00,1880.898,1882.123,0.0006510726585223645,-0.0025458683017726695,1880.898,1876.5932668236328,1876.1155717023237,1880.1798593410326,1928.85214687555,197,0.022394531501198373
