time,open,high,low,close,volume,spread
2018-03-07 03:30:00+00:00,1334.901,1335.629,1334.871,1335.411,15.0,255
2018-03-07 03:45:00+00:00,1335.442,1335.451,1334.991,1335.051,15.0,247
2018-03-07 04:00:00+00:00,1335.041,1335.192,1334.631,1334.811,15.0,242
2018-03-07 04:15:00+00:00,1334.818,1334.832,1334.529,1334.761,15.0,233
2018-03-07 04:30:00+00:00,1334.771,1334.781,1333.829,1333.961,15.0,223
2018-03-07 04:45:00+00:00,1333.961,1333.972,1332.068,1332.751,15.0,201
2018-03-07 05:00:00+00:00,1332.742,1333.559,1332.618,1332.788,15.0,210
2018-03-07 05:15:00+00:00,1332.798,1333.999,1332.271,1333.988,15.0,231
2018-03-07 05:30:00+00:00,1333.988,1335.022,1333.411,1334.281,15.0,237
2018-03-07 05:45:00+00:00,1334.281,1334.282,1332.711,1332.731,15.0,214
2018-03-07 06:00:00+00:00,1332.731,1333.812,1332.111,1333.461,15.0,254
2018-03-07 06:15:00+00:00,1333.452,1334.318,1333.418,1333.912,15.0,228
2018-03-07 06:30:00+00:00,1333.931,1335.208,1333.838,1334.291,15.0,231
2018-03-07 06:45:00+00:00,1334.291,1334.472,1333.798,1333.912,15.0,217
2018-03-07 07:00:00+00:00,1333.912,1333.942,1332.951,1333.389,15.0,232
2018-03-07 07:15:00+00:00,1333.389,1333.602,1332.751,1333.092,15.0,229
2018-03-07 07:30:00+00:00,1333.082,1333.121,1332.259,1332.968,15.0,237
2018-03-07 07:45:00+00:00,1332.948,1333.429,1332.221,1332.331,15.0,225
2018-03-07 08:00:00+00:00,1332.332,1332.728,1331.238,1332.648,15.0,223
2018-03-07 08:15:00+00:00,1332.648,1332.769,1331.998,1332.278,15.0,145
2018-03-07 08:30:00+00:00,1332.298,1333.012,1332.108,1332.729,15.0,230
2018-03-07 08:45:00+00:00,1332.749,1332.749,1331.929,1332.298,15.0,216
2018-03-07 09:00:00+00:00,1332.292,1332.709,1331.979,1332.689,15.0,240
2018-03-07 09:15:00+00:00,1332.689,1332.779,1331.991,1332.281,15.0,235
2018-03-07 09:30:00+00:00,1332.291,1332.849,1331.908,1332.818,15.0,226
2018-03-07 09:45:00+00:00,1332.818,1333.568,1332.688,1333.328,15.0,229
2018-03-07 10:00:00+00:00,1333.328,1333.339,1332.578,1332.911,15.0,220
2018-03-07 10:15:00+00:00,1332.929,1333.419,1332.508,1332.611,15.0,222
2018-03-07 10:30:00+00:00,1332.611,1333.249,1331.829,1332.971,15.0,211
2018-03-07 10:45:00+00:00,1332.981,1333.128,1332.779,1333.008,15.0,223
2018-03-07 11:00:00+00:00,1333.008,1333.758,1332.398,1332.831,15.0,227
2018-03-07 11:15:00+00:00,1332.831,1332.832,1332.178,1332.298,15.0,229
2018-03-07 11:30:00+00:00,1332.298,1332.298,1330.578,1331.218,15.0,222
2018-03-07 11:45:00+00:00,1331.218,1331.929,1330.978,1330.978,15.0,223
2018-03-07 12:00:00+00:00,1330.968,1331.051,1329.729,1329.812,15.0,209
2018-03-07 12:15:00+00:00,1329.829,1330.732,1329.628,1330.558,15.0,174
2018-03-07 12:30:00+00:00,1330.558,1330.969,1330.428,1330.629,15.0,233
2018-03-07 12:45:00+00:00,1330.618,1331.788,1330.518,1331.749,15.0,227
2018-03-07 13:00:00+00:00,1331.868,1331.989,1330.521,1330.581,15.0,222
2018-03-07 13:15:00+00:00,1330.472,1330.858,1329.369,1330.252,15.0,262
2018-03-07 13:30:00+00:00,1330.212,1332.422,1330.109,1331.091,15.0,249
2018-03-07 13:45:00+00:00,1331.092,1331.632,1330.722,1331.261,15.0,209
2018-03-07 14:00:00+00:00,1331.242,1331.562,1330.219,1330.628,15.0,236
2018-03-07 14:15:00+00:00,1330.619,1330.962,1330.609,1330.781,15.0,246
2018-03-07 14:30:00+00:00,1330.761,1331.339,1328.682,1329.999,15.0,238
2018-03-07 14:45:00+00:00,1329.999,1329.999,1328.559,1329.758,15.0,225
2018-03-07 15:00:00+00:00,1329.759,1331.478,1329.458,1330.898,15.0,223
2018-03-07 15:15:00+00:00,1330.908,1331.238,1328.378,1328.911,15.0,222
2018-03-07 15:30:00+00:00,1328.912,1329.248,1327.238,1327.349,15.0,201
2018-03-07 15:45:00+00:00,1327.322,1328.359,1326.758,1327.028,15.0,237
2018-03-07 16:00:00+00:00,1327.028,1327.268,1325.491,1326.191,15.0,203
2018-03-07 16:15:00+00:00,1326.182,1326.721,1322.681,1323.709,15.0,218
2018-03-07 16:30:00+00:00,1323.678,1324.098,1323.231,1323.848,15.0,228
2018-03-07 16:45:00+00:00,1323.852,1324.479,1323.518,1324.332,15.0,235
2018-03-07 17:00:00+00:00,1324.302,1326.862,1323.971,1325.748,15.0,199
2018-03-07 17:15:00+00:00,1325.748,1326.739,1325.198,1325.322,15.0,238
2018-03-07 17:30:00+00:00,1325.298,1325.788,1325.018,1325.391,15.0,245
2018-03-07 17:45:00+00:00,1325.391,1325.721,1324.489,1325.708,15.0,237
2018-03-07 18:00:00+00:00,1325.708,1327.111,1325.358,1326.781,15.0,249
2018-03-07 18:15:00+00:00,1326.772,1327.912,1326.418,1326.532,15.0,238
2018-03-07 18:30:00+00:00,1326.559,1326.932,1325.601,1326.869,15.0,237
2018-03-07 18:45:00+00:00,1326.869,1326.951,1325.611,1325.718,15.0,233
2018-03-07 19:00:00+00:00,1325.718,1325.829,1324.388,1324.499,15.0,254
2018-03-07 19:15:00+00:00,1324.499,1325.528,1323.252,1323.351,15.0,252
2018-03-07 19:30:00+00:00,1323.269,1324.132,1322.791,1323.129,15.0,247
2018-03-07 19:45:00+00:00,1323.122,1324.421,1322.172,1323.521,15.0,223
2018-03-07 20:00:00+00:00,1323.518,1324.101,1322.828,1323.652,15.0,256
2018-03-07 20:15:00+00:00,1323.668,1324.462,1323.611,1323.871,15.0,221
2018-03-07 20:30:00+00:00,1323.871,1324.521,1323.452,1324.322,15.0,255
2018-03-07 20:45:00+00:00,1324.351,1325.159,1323.928,1325.112,15.0,255
2018-03-07 21:00:00+00:00,1325.102,1325.872,1324.811,1325.629,15.0,240
2018-03-07 21:15:00+00:00,1325.629,1325.778,1325.321,1325.522,15.0,227
2018-03-07 21:30:00+00:00,1325.521,1325.722,1325.221,1325.288,15.0,238
2018-03-07 21:45:00+00:00,1325.322,1325.512,1325.112,1325.208,15.0,258
2018-03-07 23:00:00+00:00,1325.221,1326.001,1325.071,1325.992,15.0,332
2018-03-07 23:15:00+00:00,1325.991,1326.318,1325.978,1326.072,15.0,250
2018-03-07 23:30:00+00:00,1326.071,1326.089,1325.171,1325.221,15.0,264
2018-03-07 23:45:00+00:00,1325.251,1325.251,1324.171,1324.491,15.0,189
2018-03-08 00:00:00+00:00,1324.461,1324.932,1323.598,1324.718,15.0,237
2018-03-08 00:15:00+00:00,1324.719,1326.042,1324.309,1325.849,15.0,257
2018-03-08 00:30:00+00:00,1325.838,1326.149,1325.629,1326.081,15.0,248
2018-03-08 00:45:00+00:00,1326.092,1326.389,1325.608,1326.179,15.0,253
2018-03-08 01:00:00+00:00,1326.179,1326.942,1326.068,1326.168,15.0,249
2018-03-08 01:15:00+00:00,1326.178,1326.389,1325.759,1325.782,15.0,240
2018-03-08 01:30:00+00:00,1325.758,1326.671,1325.502,1326.521,15.0,244
2018-03-08 01:45:00+00:00,1326.501,1327.389,1326.411,1326.872,15.0,253
2018-03-08 02:00:00+00:00,1326.872,1327.371,1326.791,1327.079,15.0,254
2018-03-08 02:15:00+00:00,1327.079,1327.838,1326.798,1327.838,15.0,236
2018-03-08 02:30:00+00:00,1327.838,1327.982,1327.238,1327.531,15.0,215
2018-03-08 02:45:00+00:00,1327.541,1327.971,1327.268,1327.451,15.0,231
2018-03-08 03:00:00+00:00,1327.442,1327.672,1327.021,1327.142,15.0,249
2018-03-08 03:15:00+00:00,1327.141,1327.951,1327.041,1327.931,15.0,245
2018-03-08 03:30:00+00:00,1327.941,1327.942,1327.641,1327.769,15.0,237
2018-03-08 03:45:00+00:00,1327.769,1328.059,1327.759,1327.858,15.0,229
2018-03-08 04:00:00+00:00,1327.858,1328.082,1327.741,1327.958,15.0,243
2018-03-08 04:15:00+00:00,1327.958,1328.099,1327.611,1327.732,15.0,242
2018-03-08 04:30:00+00:00,1327.741,1327.741,1327.228,1327.451,15.0,252
2018-03-08 04:45:00+00:00,1327.461,1327.662,1327.428,1327.472,15.0,219
2018-03-08 05:00:00+00:00,1327.472,1327.682,1327.411,1327.529,15.0,224
2018-03-08 05:15:00+00:00,1327.529,1327.531,1326.619,1327.401,15.0,257
2018-03-08 05:30:00+00:00,1327.402,1327.628,1326.701,1326.702,15.0,247
2018-03-08 05:45:00+00:00,1326.701,1326.989,1326.681,1326.891,15.0,241
2018-03-08 06:00:00+00:00,1326.898,1327.922,1326.598,1327.419,15.0,227
2018-03-08 06:15:00+00:00,1327.419,1327.839,1327.129,1327.409,15.0,220
2018-03-08 06:30:00+00:00,1327.409,1328.309,1327.301,1328.029,15.0,207
2018-03-08 06:45:00+00:00,1328.029,1328.642,1327.851,1328.091,15.0,196
2018-03-08 07:00:00+00:00,1328.091,1328.992,1327.851,1328.308,15.0,233
2018-03-08 07:15:00+00:00,1328.328,1328.352,1328.0,1328.0,15.0,240
2018-03-08 07:30:00+00:00,1328.0,1328.652,1327.699,1328.391,15.0,145
2018-03-08 07:45:00+00:00,1328.369,1328.609,1327.731,1328.232,15.0,257
2018-03-08 08:00:00+00:00,1328.221,1328.432,1327.418,1327.498,15.0,241
2018-03-08 08:15:00+00:00,1327.502,1327.899,1327.389,1327.812,15.0,223
2018-03-08 08:30:00+00:00,1327.812,1328.031,1327.218,1327.218,15.0,232
2018-03-08 08:45:00+00:00,1327.218,1327.419,1325.918,1326.278,15.0,223
2018-03-08 09:00:00+00:00,1326.278,1326.278,1324.531,1325.101,15.0,222
2018-03-08 09:15:00+00:00,1325.178,1325.498,1324.701,1325.308,15.0,228
2018-03-08 09:30:00+00:00,1325.311,1325.668,1325.0,1325.0,15.0,226
2018-03-08 09:45:00+00:00,1325.0,1325.329,1324.629,1325.158,15.0,148
2018-03-08 10:00:00+00:00,1325.131,1325.452,1324.641,1325.369,15.0,229
2018-03-08 10:15:00+00:00,1325.372,1325.849,1325.179,1325.559,15.0,230
2018-03-08 10:30:00+00:00,1325.559,1325.972,1325.078,1325.179,15.0,220
2018-03-08 10:45:00+00:00,1325.198,1325.749,1325.198,1325.522,15.0,224
2018-03-08 11:00:00+00:00,1325.528,1325.709,1325.041,1325.558,15.0,217
2018-03-08 11:15:00+00:00,1325.558,1325.858,1325.088,1325.108,15.0,236
2018-03-08 11:30:00+00:00,1325.108,1325.388,1324.221,1324.321,15.0,223
2018-03-08 11:45:00+00:00,1324.321,1324.922,1323.959,1324.922,15.0,222
2018-03-08 12:00:00+00:00,1324.819,1325.429,1324.581,1324.861,15.0,197
2018-03-08 12:15:00+00:00,1324.861,1324.961,1323.978,1324.299,15.0,236
2018-03-08 12:30:00+00:00,1324.299,1324.599,1323.608,1324.489,15.0,224
2018-03-08 12:45:00+00:00,1324.489,1326.742,1324.258,1324.511,15.0,241
2018-03-08 13:00:00+00:00,1324.451,1325.471,1324.451,1325.379,15.0,238
2018-03-08 13:15:00+00:00,1325.389,1326.399,1325.068,1325.458,15.0,235
2018-03-08 13:30:00+00:00,1325.458,1326.699,1324.678,1324.692,15.0,257
2018-03-08 13:45:00+00:00,1324.701,1325.732,1323.638,1325.458,15.0,224
2018-03-08 14:00:00+00:00,1325.429,1326.252,1324.571,1325.362,15.0,203
2018-03-08 14:15:00+00:00,1325.362,1325.682,1324.968,1324.968,15.0,242
2018-03-08 14:30:00+00:00,1324.971,1325.202,1321.768,1323.191,15.0,220
2018-03-08 14:45:00+00:00,1323.231,1324.041,1321.869,1322.072,15.0,233
2018-03-08 15:00:00+00:00,1322.069,1322.069,1319.388,1320.868,15.0,220
2018-03-08 15:15:00+00:00,1320.889,1321.479,1320.078,1321.068,15.0,233
2018-03-08 15:30:00+00:00,1321.082,1321.178,1319.588,1319.938,15.0,240
2018-03-08 15:45:00+00:00,1319.938,1321.019,1319.008,1319.321,15.0,230
2018-03-08 16:00:00+00:00,1319.349,1321.391,1319.128,1321.391,15.0,226
2018-03-08 16:15:00+00:00,1321.391,1322.248,1321.199,1321.351,15.0,212
2018-03-08 16:30:00+00:00,1321.352,1321.561,1319.411,1319.921,15.0,240
2018-03-08 16:45:00+00:00,1319.912,1321.122,1319.401,1320.782,15.0,229
2018-03-08 17:00:00+00:00,1320.771,1321.239,1319.342,1320.949,15.0,223
2018-03-08 17:15:00+00:00,1320.949,1321.549,1320.421,1320.922,15.0,227
2018-03-08 17:30:00+00:00,1320.922,1321.009,1320.321,1320.448,15.0,214
2018-03-08 17:45:00+00:00,1320.448,1322.528,1320.238,1321.749,15.0,211
2018-03-08 18:00:00+00:00,1321.748,1322.248,1320.801,1320.828,15.0,226
2018-03-08 18:15:00+00:00,1320.828,1321.381,1319.978,1321.381,15.0,212
2018-03-08 18:30:00+00:00,1321.412,1321.439,1320.138,1320.678,15.0,239
2018-03-08 18:45:00+00:00,1320.678,1321.462,1320.281,1321.462,15.0,235
2018-03-08 19:00:00+00:00,1321.461,1322.451,1321.161,1321.161,15.0,222
2018-03-08 19:15:00+00:00,1321.161,1321.412,1320.281,1320.822,15.0,227
2018-03-08 19:30:00+00:00,1320.821,1321.182,1320.471,1321.102,15.0,248
2018-03-08 19:45:00+00:00,1321.092,1322.581,1321.081,1321.991,15.0,203
2018-03-08 20:00:00+00:00,1321.981,1322.659,1321.748,1321.798,15.0,254
2018-03-08 20:15:00+00:00,1321.829,1321.968,1321.221,1321.602,15.0,174
2018-03-08 20:30:00+00:00,1321.601,1321.851,1321.208,1321.768,15.0,235
2018-03-08 20:45:00+00:00,1321.819,1322.322,1321.271,1322.132,15.0,234
2018-03-08 21:00:00+00:00,1322.141,1322.232,1321.712,1321.819,15.0,265
2018-03-08 21:15:00+00:00,1321.809,1322.128,1321.638,1322.121,15.0,248
2018-03-08 21:30:00+00:00,1322.121,1322.499,1321.761,1322.448,15.0,274
2018-03-08 21:45:00+00:00,1322.448,1322.449,1321.698,1321.699,15.0,229
2018-03-08 23:00:00+00:00,1321.681,1321.792,1321.139,1321.429,15.0,357
2018-03-08 23:15:00+00:00,1321.449,1321.939,1321.021,1321.142,15.0,278
2018-03-08 23:30:00+00:00,1321.142,1321.222,1320.321,1320.371,15.0,244
2018-03-08 23:45:00+00:00,1320.371,1321.158,1320.141,1320.929,15.0,241
2018-03-09 00:00:00+00:00,1320.958,1321.259,1320.099,1320.458,15.0,239
2018-03-09 00:15:00+00:00,1320.458,1321.079,1320.069,1320.152,15.0,232
2018-03-09 00:30:00+00:00,1320.161,1320.489,1319.699,1320.268,15.0,247
2018-03-09 00:45:00+00:00,1320.268,1320.391,1318.031,1318.428,15.0,251
2018-03-09 01:00:00+00:00,1318.419,1318.802,1317.422,1317.989,15.0,251
2018-03-09 01:15:00+00:00,1317.989,1318.302,1317.429,1317.682,15.0,246
2018-03-09 01:30:00+00:00,1317.682,1317.839,1316.829,1317.388,15.0,262
2018-03-09 01:45:00+00:00,1317.388,1317.879,1317.228,1317.361,15.0,248
2018-03-09 02:00:00+00:00,1317.362,1318.119,1316.818,1318.019,15.0,233
2018-03-09 02:15:00+00:00,1318.018,1318.489,1317.949,1318.038,15.0,268
2018-03-09 02:30:00+00:00,1318.038,1318.278,1317.848,1318.148,15.0,257
2018-03-09 02:45:00+00:00,1318.178,1318.6,1318.058,1318.329,15.0,245
2018-03-09 03:00:00+00:00,1318.329,1318.462,1317.978,1318.209,15.0,216
2018-03-09 03:15:00+00:00,1318.209,1318.308,1317.478,1318.181,15.0,229
2018-03-09 03:30:00+00:00,1318.198,1318.309,1317.808,1318.221,15.0,246
2018-03-09 03:45:00+00:00,1318.222,1318.229,1317.589,1317.792,15.0,188
2018-03-09 04:00:00+00:00,1317.791,1317.968,1317.481,1317.481,15.0,239
2018-03-09 04:15:00+00:00,1317.481,1318.009,1316.991,1317.902,15.0,241
2018-03-09 04:30:00+00:00,1317.902,1318.222,1317.801,1317.979,15.0,246
2018-03-09 04:45:00+00:00,1317.971,1318.141,1317.721,1318.021,15.0,181
2018-03-09 05:00:00+00:00,1318.021,1318.122,1317.701,1317.721,15.0,205
2018-03-09 05:15:00+00:00,1317.721,1318.092,1317.591,1317.991,15.0,202
2018-03-09 05:30:00+00:00,1317.991,1318.019,1317.578,1317.612,15.0,241
2018-03-09 05:45:00+00:00,1317.609,1318.429,1317.568,1318.388,15.0,203
2018-03-09 06:00:00+00:00,1318.388,1318.519,1318.009,1318.198,15.0,211
2018-03-09 06:15:00+00:00,1318.188,1318.519,1317.999,1318.408,15.0,242
2018-03-09 06:30:00+00:00,1318.408,1319.158,1318.321,1318.758,15.0,228
2018-03-09 06:45:00+00:00,1318.739,1319.442,1318.578,1319.042,15.0,246
2018-03-09 07:00:00+00:00,1319.041,1319.152,1318.158,1319.138,15.0,228
2018-03-09 07:15:00+00:00,1319.138,1319.149,1318.248,1318.258,15.0,224
2018-03-09 07:30:00+00:00,1318.261,1318.761,1318.081,1318.309,15.0,220
2018-03-09 07:45:00+00:00,1318.309,1319.138,1318.128,1318.752,15.0,224
2018-03-09 08:00:00+00:00,1318.769,1318.872,1317.959,1318.659,15.0,225
2018-03-09 08:15:00+00:00,1318.649,1318.768,1318.148,1318.148,15.0,222
2018-03-09 08:30:00+00:00,1318.169,1318.689,1318.148,1318.269,15.0,228
2018-03-09 08:45:00+00:00,1318.269,1318.688,1317.949,1318.588,15.0,213
2018-03-09 09:00:00+00:00,1318.588,1320.069,1318.578,1319.938,15.0,205
2018-03-09 09:15:00+00:00,1319.868,1320.469,1319.771,1319.879,15.0,214
2018-03-09 09:30:00+00:00,1319.879,1319.972,1318.848,1319.169,15.0,231
2018-03-09 09:45:00+00:00,1319.149,1319.399,1318.908,1319.011,15.0,218
2018-03-09 10:00:00+00:00,1319.019,1319.789,1318.798,1319.398,15.0,203
2018-03-09 10:15:00+00:00,1319.389,1319.801,1319.198,1319.501,15.0,233
2018-03-09 10:30:00+00:00,1319.512,1320.191,1319.401,1320.162,15.0,224
2018-03-09 10:45:00+00:00,1320.142,1320.891,1319.599,1319.752,15.0,231
2018-03-09 11:00:00+00:00,1319.758,1320.298,1319.508,1319.909,15.0,234
2018-03-09 11:15:00+00:00,1319.889,1320.138,1319.608,1320.009,15.0,223
2018-03-09 11:30:00+00:00,1320.029,1320.319,1319.808,1320.018,15.0,233
2018-03-09 11:45:00+00:00,1320.098,1320.171,1319.688,1320.081,15.0,240
2018-03-09 12:00:00+00:00,1320.159,1320.571,1319.419,1319.429,15.0,231
2018-03-09 12:15:00+00:00,1319.429,1319.749,1319.129,1319.749,15.0,214
2018-03-09 12:30:00+00:00,1319.739,1319.838,1318.319,1318.489,15.0,214
2018-03-09 12:45:00+00:00,1318.489,1318.599,1317.868,1318.209,15.0,219
2018-03-09 13:00:00+00:00,1318.218,1318.699,1317.098,1317.382,15.0,216
2018-03-09 13:15:00+00:00,1317.382,1317.382,1313.898,1315.498,15.0,231
2018-03-09 13:30:00+00:00,1315.571,1321.083,1312.829,1314.359,15.0,352
2018-03-09 13:45:00+00:00,1314.359,1316.618,1313.698,1315.878,15.0,214
2018-03-09 14:00:00+00:00,1315.929,1316.779,1315.851,1316.708,15.0,195
2018-03-09 14:15:00+00:00,1316.698,1317.888,1316.218,1317.188,15.0,215
2018-03-09 14:30:00+00:00,1317.178,1317.222,1315.519,1316.089,15.0,213
2018-03-09 14:45:00+00:00,1316.079,1321.011,1315.728,1321.008,15.0,216
2018-03-09 15:00:00+00:00,1321.078,1322.102,1319.622,1321.402,15.0,198
2018-03-09 15:15:00+00:00,1321.401,1324.081,1321.121,1321.918,15.0,247
2018-03-09 15:30:00+00:00,1321.821,1322.961,1320.189,1320.869,15.0,245
2018-03-09 15:45:00+00:00,1320.832,1322.589,1320.208,1322.329,15.0,237
