time,macro_tone
2017-01-01 00:00:00+00:00,-1.2017
2017-01-02 00:00:00+00:00,-1.0655
2017-01-03 00:00:00+00:00,-0.6506
2017-01-04 00:00:00+00:00,-0.8106
2017-01-05 00:00:00+00:00,-0.8587
2017-01-06 00:00:00+00:00,-0.9297
2017-01-07 00:00:00+00:00,-1.102
2017-01-08 00:00:00+00:00,-1.3161
2017-01-09 00:00:00+00:00,-0.9454
2017-01-10 00:00:00+00:00,-0.9605
2017-01-11 00:00:00+00:00,-0.9119
2017-01-12 00:00:00+00:00,-0.8838
2017-01-13 00:00:00+00:00,-0.6467
2017-01-14 00:00:00+00:00,-1.0156
2017-01-15 00:00:00+00:00,-0.9173
2017-01-16 00:00:00+00:00,-0.9468
2017-01-17 00:00:00+00:00,-0.4827
2017-01-18 00:00:00+00:00,-0.6748
2017-01-19 00:00:00+00:00,-0.5967
2017-01-20 00:00:00+00:00,-0.7933
2017-01-21 00:00:00+00:00,-1.1272
2017-01-22 00:00:00+00:00,-0.8069
2017-01-23 00:00:00+00:00,-0.8672
2017-01-24 00:00:00+00:00,-0.7248
2017-01-25 00:00:00+00:00,-0.5468
2017-01-26 00:00:00+00:00,-0.3405
2017-01-27 00:00:00+00:00,-0.8687
2017-01-28 00:00:00+00:00,-0.9775
2017-01-29 00:00:00+00:00,-0.8161
2017-01-30 00:00:00+00:00,-1.3342
2017-01-31 00:00:00+00:00,-1.1068
2017-02-01 00:00:00+00:00,-1.1063
2017-02-02 00:00:00+00:00,-0.854
2017-02-03 00:00:00+00:00,-0.8562
2017-02-04 00:00:00+00:00,-1.0344
2017-02-05 00:00:00+00:00,-1.1817
2017-02-06 00:00:00+00:00,-1.0736
2017-02-07 00:00:00+00:00,-0.89
2017-02-08 00:00:00+00:00,-0.9662
2017-02-09 00:00:00+00:00,-0.7291
2017-02-10 00:00:00+00:00,-1.0364
2017-02-11 00:00:00+00:00,-1.113
2017-02-12 00:00:00+00:00,-1.4267
2017-02-13 00:00:00+00:00,-0.9044
2017-02-14 00:00:00+00:00,-0.9452
2017-02-15 00:00:00+00:00,-0.5761
2017-02-16 00:00:00+00:00,-0.8606
2017-02-17 00:00:00+00:00,-0.9614
2017-02-18 00:00:00+00:00,-1.2903
2017-02-19 00:00:00+00:00,-1.6352
2017-02-20 00:00:00+00:00,-1.6738
2017-02-21 00:00:00+00:00,-1.2686
2017-02-22 00:00:00+00:00,-0.7705
2017-02-23 00:00:00+00:00,-0.8232
2017-02-24 00:00:00+00:00,-1.0652
2017-02-25 00:00:00+00:00,-1.1067
2017-02-26 00:00:00+00:00,-0.9394
2017-02-27 00:00:00+00:00,-0.737
2017-02-28 00:00:00+00:00,-0.8036
2017-03-01 00:00:00+00:00,-0.6752
2017-03-02 00:00:00+00:00,-0.5921
2017-03-03 00:00:00+00:00,-0.8376
2017-03-04 00:00:00+00:00,-1.608
2017-03-05 00:00:00+00:00,-1.0778
2017-03-06 00:00:00+00:00,-1.066
2017-03-07 00:00:00+00:00,-0.9353
2017-03-08 00:00:00+00:00,-0.8563
2017-03-09 00:00:00+00:00,-0.8183
2017-03-10 00:00:00+00:00,-0.503
2017-03-11 00:00:00+00:00,-0.9068
2017-03-12 00:00:00+00:00,-0.7732
2017-03-13 00:00:00+00:00,-0.8403
2017-03-14 00:00:00+00:00,-0.7472
2017-03-15 00:00:00+00:00,-0.4354
2017-03-16 00:00:00+00:00,-0.3875
2017-03-17 00:00:00+00:00,-0.6692
2017-03-18 00:00:00+00:00,-1.5019
2017-03-19 00:00:00+00:00,-0.6688
2017-03-20 00:00:00+00:00,-0.8056
2017-03-21 00:00:00+00:00,-0.8397
2017-03-22 00:00:00+00:00,-1.2089
2017-03-23 00:00:00+00:00,-0.9179
2017-03-24 00:00:00+00:00,-0.9184
2017-03-25 00:00:00+00:00,-1.0949
2017-03-26 00:00:00+00:00,-2.2568
2017-03-27 00:00:00+00:00,-1.1205
2017-03-28 00:00:00+00:00,-0.6351
2017-03-29 00:00:00+00:00,-0.5296
2017-03-30 00:00:00+00:00,-0.7201
2017-03-31 00:00:00+00:00,-1.1772
2017-04-01 00:00:00+00:00,-2.1099
2017-04-02 00:00:00+00:00,-1.1321
2017-04-03 00:00:00+00:00,-0.7976
2017-04-04 00:00:00+00:00,-1.1277
2017-04-05 00:00:00+00:00,-0.872
2017-04-06 00:00:00+00:00,-1.2217
2017-04-07 00:00:00+00:00,-1.1428
2017-04-08 00:00:00+00:00,-1.3013
2017-04-09 00:00:00+00:00,-1.5075
2017-04-10 00:00:00+00:00,-1.136
2017-04-11 00:00:00+00:00,-1.2193
2017-04-12 00:00:00+00:00,-1.285
2017-04-13 00:00:00+00:00,-0.9596
2017-04-14 00:00:00+00:00,-1.0029
2017-04-15 00:00:00+00:00,-1.527
2017-04-16 00:00:00+00:00,-0.7842
2017-04-17 00:00:00+00:00,-0.8402
2017-04-18 00:00:00+00:00,-1.0308
2017-04-19 00:00:00+00:00,-1.3015
2017-04-20 00:00:00+00:00,-2.6942
2017-04-21 00:00:00+00:00,-2.4303
2017-04-22 00:00:00+00:00,-2.1442
2017-04-23 00:00:00+00:00,-1.5098
2017-04-24 00:00:00+00:00,-0.7297
2017-04-25 00:00:00+00:00,-1.3402
2017-04-26 00:00:00+00:00,-1.0573
2017-04-27 00:00:00+00:00,-1.3502
2017-04-28 00:00:00+00:00,-1.1875
2017-04-29 00:00:00+00:00,-2.0346
2017-04-30 00:00:00+00:00,-1.8683
2017-05-01 00:00:00+00:00,-1.5365
2017-05-02 00:00:00+00:00,-1.5762
2017-05-03 00:00:00+00:00,-1.2134
2017-05-04 00:00:00+00:00,-0.8387
2017-05-05 00:00:00+00:00,-0.8453
2017-05-06 00:00:00+00:00,-1.5425
2017-05-07 00:00:00+00:00,-1.0883
2017-05-08 00:00:00+00:00,-0.6064
2017-05-09 00:00:00+00:00,-0.9118
2017-05-10 00:00:00+00:00,-1.3106
2017-05-11 00:00:00+00:00,-1.1839
2017-05-12 00:00:00+00:00,-1.3429
2017-05-13 00:00:00+00:00,-1.0173
2017-05-14 00:00:00+00:00,-1.275
2017-05-15 00:00:00+00:00,-0.7706
2017-05-16 00:00:00+00:00,-1.5868
2017-05-17 00:00:00+00:00,-1.7177
2017-05-18 00:00:00+00:00,-1.0445
2017-05-19 00:00:00+00:00,-1.2081
2017-05-20 00:00:00+00:00,-1.8595
2017-05-21 00:00:00+00:00,-1.4223
2017-05-22 00:00:00+00:00,-0.9843
2017-05-23 00:00:00+00:00,-1.177
2017-05-24 00:00:00+00:00,-1.2683
2017-05-25 00:00:00+00:00,-0.8453
2017-05-26 00:00:00+00:00,-0.9046
