time,dxy,us10y,vix
2015-01-02 00:00:00+00:00,91.08000183105469,2.122999906539917,17.790000915527344
2015-01-05 00:00:00+00:00,91.37999725341797,2.0390000343322754,19.920000076293945
2015-01-06 00:00:00+00:00,91.5,1.9630000591278076,21.1200008392334
2015-01-07 00:00:00+00:00,91.88999938964844,1.9539999961853027,19.309999465942383
2015-01-08 00:00:00+00:00,92.37000274658203,2.0160000324249268,17.010000228881836
2015-01-09 00:00:00+00:00,91.94000244140625,1.9709999561309814,17.549999237060547
2015-01-12 00:00:00+00:00,91.9800033569336,1.9119999408721924,19.600000381469727
2015-01-13 00:00:00+00:00,92.30999755859375,1.8899999856948853,20.559999465942383
2015-01-14 00:00:00+00:00,92.16000366210938,1.8370000123977661,21.479999542236328
2015-01-15 00:00:00+00:00,92.3499984741211,1.774999976158142,22.389999389648438
2015-01-16 00:00:00+00:00,92.5199966430664,1.815000057220459,20.950000762939453
2015-01-20 00:00:00+00:00,93.05000305175781,1.8070000410079956,19.889999389648438
2015-01-21 00:00:00+00:00,92.9000015258789,1.8530000448226929,18.850000381469727
2015-01-22 00:00:00+00:00,94.23999786376953,1.8960000276565552,16.399999618530273
2015-01-23 00:00:00+00:00,95.0,1.8170000314712524,16.65999984741211
2015-01-26 00:00:00+00:00,94.80000305175781,1.8279999494552612,15.520000457763672
2015-01-27 00:00:00+00:00,94.0199966430664,1.8250000476837158,17.219999313354492
2015-01-28 00:00:00+00:00,94.47000122070312,1.7239999771118164,20.440000534057617
2015-01-29 00:00:00+00:00,94.77999877929688,1.7510000467300415,18.760000228881836
2015-01-30 00:00:00+00:00,94.80000305175781,1.6749999523162842,20.969999313354492
2015-02-02 00:00:00+00:00,94.5,1.6729999780654907,19.43000030517578
2015-02-03 00:00:00+00:00,93.5999984741211,1.7799999713897705,17.329999923706055
2015-02-04 00:00:00+00:00,93.98999786376953,1.7970000505447388,18.329999923706055
2015-02-05 00:00:00+00:00,94.69999694824219,1.815000057220459,16.850000381469727
2015-02-06 00:00:00+00:00,94.69999694824219,1.937999963760376,17.290000915527344
2015-02-09 00:00:00+00:00,94.44999694824219,1.9479999542236328,18.549999237060547
2015-02-10 00:00:00+00:00,94.76000213623047,1.9910000562667847,17.229999542236328
2015-02-11 00:00:00+00:00,94.98999786376953,1.9880000352859497,16.959999084472656
2015-02-12 00:00:00+00:00,94.08999633789062,1.9859999418258667,15.34000015258789
2015-02-13 00:00:00+00:00,94.19999694824219,2.0209999084472656,14.6899995803833
2015-02-17 00:00:00+00:00,94.05999755859375,2.1449999809265137,15.800000190734863
2015-02-18 00:00:00+00:00,94.19999694824219,2.065999984741211,15.449999809265137
2015-02-19 00:00:00+00:00,94.4000015258789,2.11299991607666,15.289999961853027
2015-02-20 00:00:00+00:00,94.25,2.132999897003174,14.300000190734863
2015-02-23 00:00:00+00:00,94.56999969482422,2.059000015258789,14.5600004196167
2015-02-24 00:00:00+00:00,94.48999786376953,1.9880000352859497,13.6899995803833
2015-02-25 00:00:00+00:00,94.20999908447266,1.968999981880188,13.84000015258789
2015-02-26 00:00:00+00:00,95.29000091552734,2.0160000324249268,13.90999984741211
2015-02-27 00:00:00+00:00,95.25,2.002000093460083,13.34000015258789
2015-03-02 00:00:00+00:00,95.45999908447266,2.0840001106262207,13.039999961853027
2015-03-03 00:00:00+00:00,95.37999725341797,2.121999979019165,13.859999656677246
2015-03-04 00:00:00+00:00,95.97000122070312,2.122999906539917,14.229999542236328
2015-03-05 00:00:00+00:00,96.37999725341797,2.111999988555908,14.039999961853027
2015-03-06 00:00:00+00:00,97.62000274658203,2.240000009536743,15.199999809265137
2015-03-09 00:00:00+00:00,97.58999633789062,2.194999933242798,15.0600004196167
2015-03-10 00:00:00+00:00,98.62000274658203,2.125999927520752,16.690000534057617
2015-03-11 00:00:00+00:00,99.80000305175781,2.1089999675750732,16.8700008392334
2015-03-12 00:00:00+00:00,99.1500015258789,2.0959999561309814,15.420000076293945
2015-03-13 00:00:00+00:00,100.33000183105469,2.111999988555908,16.0
2015-03-16 00:00:00+00:00,99.5999984741211,2.0980000495910645,15.609999656677246
2015-03-17 00:00:00+00:00,99.58999633789062,2.058000087738037,15.65999984741211
2015-03-18 00:00:00+00:00,98.55000305175781,1.9509999752044678,13.970000267028809
2015-03-19 00:00:00+00:00,99.0999984741211,1.9769999980926514,14.069999694824219
2015-03-20 00:00:00+00:00,97.91000366210938,1.9299999475479126,13.020000457763672
2015-03-23 00:00:00+00:00,97.02999877929688,1.9149999618530273,13.40999984741211
2015-03-24 00:00:00+00:00,97.19000244140625,1.878000020980835,13.619999885559082
2015-03-25 00:00:00+00:00,96.9800033569336,1.9199999570846558,15.4399995803833
2015-03-26 00:00:00+00:00,97.44000244140625,2.006999969482422,15.800000190734863
2015-03-27 00:00:00+00:00,97.29000091552734,1.9479999542236328,15.069999694824219
2015-03-30 00:00:00+00:00,97.9800033569336,1.9630000591278076,14.510000228881836
2015-03-31 00:00:00+00:00,98.36000061035156,1.934000015258789,15.289999961853027
2015-04-01 00:00:00+00:00,98.19000244140625,1.8680000305175781,15.109999656677246
2015-04-02 00:00:00+00:00,97.44000244140625,1.9040000438690186,14.670000076293945
2015-04-06 00:00:00+00:00,97.11000061035156,1.9040000438690186,14.739999771118164
2015-04-07 00:00:00+00:00,97.83000183105469,1.8930000066757202,14.779999732971191
2015-04-08 00:00:00+00:00,98.06999969482422,1.8949999809265137,13.979999542236328
2015-04-09 00:00:00+00:00,99.16000366210938,1.9579999446868896,13.09000015258789
2015-04-10 00:00:00+00:00,99.38999938964844,1.9509999752044678,12.579999923706055
2015-04-13 00:00:00+00:00,99.48999786376953,1.9390000104904175,13.9399995803833
2015-04-14 00:00:00+00:00,98.76000213623047,1.9040000438690186,13.670000076293945
2015-04-15 00:00:00+00:00,98.33000183105469,1.899999976158142,12.84000015258789
2015-04-16 00:00:00+00:00,97.41999816894531,1.878000020980835,12.600000381469727
2015-04-17 00:00:00+00:00,97.5199966430664,1.850000023841858,13.890000343322754
