time,open,high,low,close,volume
2015-01-01 23:00:00+00:00,1183.949,1187.403,1183.23,1186.664,60.0
2015-01-02 00:00:00+00:00,1186.684,1188.282,1186.069,1187.412,60.0
2015-01-02 01:00:00+00:00,1187.398,1187.398,1184.341,1184.981,60.0
2015-01-02 02:00:00+00:00,1185.001,1185.392,1184.261,1185.101,60.0
2015-01-02 03:00:00+00:00,1185.012,1186.222,1184.441,1186.182,60.0
2015-01-02 04:00:00+00:00,1186.261,1187.392,1184.781,1184.782,58.0
2015-01-02 05:00:00+00:00,1184.782,1185.982,1184.481,1185.931,60.0
2015-01-02 06:00:00+00:00,1185.881,1187.481,1185.871,1186.931,60.0
2015-01-02 07:00:00+00:00,1186.941,1187.151,1184.692,1185.842,60.0
2015-01-02 08:00:00+00:00,1185.881,1187.941,1185.881,1186.622,60.0
2015-01-02 09:00:00+00:00,1186.622,1187.021,1184.791,1186.252,60.0
2015-01-02 10:00:00+00:00,1186.389,1186.789,1181.318,1182.661,60.0
2015-01-02 11:00:00+00:00,1182.652,1183.888,1180.581,1182.711,60.0
2015-01-02 12:00:00+00:00,1182.851,1183.611,1173.507,1177.101,60.0
2015-01-02 13:00:00+00:00,1177.038,1178.25,1167.43,1174.211,60.0
2015-01-02 14:00:00+00:00,1174.212,1174.462,1169.21,1171.712,60.0
2015-01-02 15:00:00+00:00,1172.823,1194.331,1171.471,1187.941,60.0
2015-01-02 16:00:00+00:00,1187.941,1194.998,1187.662,1192.228,60.0
2015-01-02 17:00:00+00:00,1192.228,1192.834,1185.999,1187.415,60.0
2015-01-02 18:00:00+00:00,1187.439,1188.846,1182.176,1182.624,60.0
2015-01-02 19:00:00+00:00,1182.654,1186.445,1182.425,1185.146,60.0
2015-01-02 20:00:00+00:00,1185.158,1187.53,1184.294,1187.396,60.0
2015-01-02 21:00:00+00:00,1187.437,1189.055,1186.929,1188.354,60.0
2015-01-04 23:00:00+00:00,1188.111,1188.48,1177.929,1183.841,60.0
2015-01-05 00:00:00+00:00,1183.841,1189.861,1182.784,1189.64,60.0
2015-01-05 01:00:00+00:00,1189.64,1192.941,1189.576,1191.401,60.0
2015-01-05 02:00:00+00:00,1191.421,1194.268,1190.059,1193.062,60.0
2015-01-05 03:00:00+00:00,1193.121,1193.869,1192.582,1192.873,60.0
2015-01-05 04:00:00+00:00,1192.863,1192.863,1191.112,1191.636,60.0
2015-01-05 05:00:00+00:00,1191.619,1197.692,1191.348,1196.481,60.0
2015-01-05 06:00:00+00:00,1196.542,1197.042,1194.731,1196.501,60.0
2015-01-05 07:00:00+00:00,1196.501,1197.748,1195.462,1195.642,60.0
2015-01-05 08:00:00+00:00,1195.625,1197.399,1193.219,1193.502,60.0
2015-01-05 09:00:00+00:00,1193.54,1195.939,1193.049,1194.418,60.0
2015-01-05 10:00:00+00:00,1194.418,1195.039,1188.488,1189.656,60.0
2015-01-05 11:00:00+00:00,1189.644,1191.242,1186.948,1189.09,60.0
2015-01-05 12:00:00+00:00,1189.09,1190.549,1186.765,1189.102,60.0
2015-01-05 13:00:00+00:00,1189.091,1198.791,1186.729,1194.248,60.0
2015-01-05 14:00:00+00:00,1194.26,1200.491,1193.291,1198.892,60.0
2015-01-05 15:00:00+00:00,1198.841,1202.517,1197.409,1198.738,60.0
