time,macro_vol
2017-01-01 00:00:00+00:00,0.5279
2017-01-02 00:00:00+00:00,0.4202
2017-01-03 00:00:00+00:00,0.5742
2017-01-04 00:00:00+00:00,0.6842
2017-01-05 00:00:00+00:00,0.743
2017-01-06 00:00:00+00:00,0.5992
2017-01-07 00:00:00+00:00,0.3672
2017-01-08 00:00:00+00:00,0.3482
2017-01-09 00:00:00+00:00,0.6096
2017-01-10 00:00:00+00:00,0.6277
2017-01-11 00:00:00+00:00,0.4912
2017-01-12 00:00:00+00:00,0.5525
2017-01-13 00:00:00+00:00,0.6159
2017-01-14 00:00:00+00:00,0.2815
2017-01-15 00:00:00+00:00,0.2796
2017-01-16 00:00:00+00:00,0.4996
2017-01-17 00:00:00+00:00,0.5627
2017-01-18 00:00:00+00:00,0.6465
2017-01-19 00:00:00+00:00,0.6976
2017-01-20 00:00:00+00:00,0.6835
2017-01-21 00:00:00+00:00,0.3221
2017-01-22 00:00:00+00:00,0.284
2017-01-23 00:00:00+00:00,0.4432
2017-01-24 00:00:00+00:00,0.3998
2017-01-25 00:00:00+00:00,0.4954
2017-01-26 00:00:00+00:00,0.4916
2017-01-27 00:00:00+00:00,0.5423
2017-01-28 00:00:00+00:00,0.279
2017-01-29 00:00:00+00:00,0.3076
2017-01-30 00:00:00+00:00,0.5476
2017-01-31 00:00:00+00:00,0.7589
2017-02-01 00:00:00+00:00,0.8063
2017-02-02 00:00:00+00:00,0.7021
2017-02-03 00:00:00+00:00,0.6451
2017-02-04 00:00:00+00:00,0.3119
2017-02-05 00:00:00+00:00,0.3184
2017-02-06 00:00:00+00:00,0.5267
2017-02-07 00:00:00+00:00,0.628
2017-02-08 00:00:00+00:00,0.48
2017-02-09 00:00:00+00:00,0.5344
2017-02-10 00:00:00+00:00,0.5338
2017-02-11 00:00:00+00:00,0.3261
2017-02-12 00:00:00+00:00,0.3116
2017-02-13 00:00:00+00:00,0.51
2017-02-14 00:00:00+00:00,0.8583
2017-02-15 00:00:00+00:00,0.7473
2017-02-16 00:00:00+00:00,0.6602
2017-02-17 00:00:00+00:00,0.5227
2017-02-18 00:00:00+00:00,0.2931
2017-02-19 00:00:00+00:00,0.3156
2017-02-20 00:00:00+00:00,0.5559
2017-02-21 00:00:00+00:00,0.5901
2017-02-22 00:00:00+00:00,0.6573
2017-02-23 00:00:00+00:00,0.578
2017-02-24 00:00:00+00:00,0.4677
2017-02-25 00:00:00+00:00,0.2892
2017-02-26 00:00:00+00:00,0.2789
2017-02-27 00:00:00+00:00,0.4223
2017-02-28 00:00:00+00:00,0.5487
2017-03-01 00:00:00+00:00,0.7083
2017-03-02 00:00:00+00:00,0.7091
2017-03-03 00:00:00+00:00,0.8079
2017-03-04 00:00:00+00:00,0.3454
2017-03-05 00:00:00+00:00,0.3303
2017-03-06 00:00:00+00:00,0.547
2017-03-07 00:00:00+00:00,0.5634
2017-03-08 00:00:00+00:00,0.6255
2017-03-09 00:00:00+00:00,0.6531
2017-03-10 00:00:00+00:00,0.7843
2017-03-11 00:00:00+00:00,0.3707
2017-03-12 00:00:00+00:00,0.3106
2017-03-13 00:00:00+00:00,0.6451
2017-03-14 00:00:00+00:00,0.7357
2017-03-15 00:00:00+00:00,0.9893
2017-03-16 00:00:00+00:00,1.0412
2017-03-17 00:00:00+00:00,0.6649
2017-03-18 00:00:00+00:00,0.3873
2017-03-19 00:00:00+00:00,0.3467
2017-03-20 00:00:00+00:00,0.5848
2017-03-21 00:00:00+00:00,0.6078
2017-03-22 00:00:00+00:00,0.5537
2017-03-23 00:00:00+00:00,0.5708
2017-03-24 00:00:00+00:00,0.5231
2017-03-25 00:00:00+00:00,0.2776
2017-03-26 00:00:00+00:00,0.314
2017-03-27 00:00:00+00:00,0.4973
2017-03-28 00:00:00+00:00,0.4468
2017-03-29 00:00:00+00:00,0.4754
2017-03-30 00:00:00+00:00,0.5829
2017-03-31 00:00:00+00:00,0.6561
2017-04-01 00:00:00+00:00,0.3335
2017-04-02 00:00:00+00:00,0.2764
2017-04-03 00:00:00+00:00,0.4884
2017-04-04 00:00:00+00:00,0.512
2017-04-05 00:00:00+00:00,0.526
2017-04-06 00:00:00+00:00,0.7044
2017-04-07 00:00:00+00:00,0.5146
2017-04-08 00:00:00+00:00,0.2903
2017-04-09 00:00:00+00:00,0.267
2017-04-10 00:00:00+00:00,0.4445
2017-04-11 00:00:00+00:00,0.4819
2017-04-12 00:00:00+00:00,0.5849
2017-04-13 00:00:00+00:00,0.7513
2017-04-14 00:00:00+00:00,0.4806
2017-04-15 00:00:00+00:00,0.281
2017-04-16 00:00:00+00:00,0.2101
2017-04-17 00:00:00+00:00,0.4687
2017-04-18 00:00:00+00:00,0.4708
2017-04-19 00:00:00+00:00,0.5087
2017-04-20 00:00:00+00:00,0.6855
2017-04-21 00:00:00+00:00,0.7148
2017-04-22 00:00:00+00:00,0.4293
2017-04-23 00:00:00+00:00,0.2825
2017-04-24 00:00:00+00:00,0.3459
2017-04-25 00:00:00+00:00,0.4811
2017-04-26 00:00:00+00:00,0.4255
2017-04-27 00:00:00+00:00,0.6046
2017-04-28 00:00:00+00:00,0.643
2017-04-29 00:00:00+00:00,0.2554
2017-04-30 00:00:00+00:00,0.3871
2017-05-01 00:00:00+00:00,0.7009
2017-05-02 00:00:00+00:00,0.6468
2017-05-03 00:00:00+00:00,0.7267
2017-05-04 00:00:00+00:00,0.6533
2017-05-05 00:00:00+00:00,0.6309
2017-05-06 00:00:00+00:00,0.3671
2017-05-07 00:00:00+00:00,0.327
2017-05-08 00:00:00+00:00,0.4927
2017-05-09 00:00:00+00:00,0.5023
2017-05-10 00:00:00+00:00,0.6373
2017-05-11 00:00:00+00:00,0.7169
2017-05-12 00:00:00+00:00,0.5826
2017-05-13 00:00:00+00:00,0.3808
2017-05-14 00:00:00+00:00,0.2851
2017-05-15 00:00:00+00:00,0.4637
2017-05-16 00:00:00+00:00,0.6577
2017-05-17 00:00:00+00:00,0.593
2017-05-18 00:00:00+00:00,0.5924
2017-05-19 00:00:00+00:00,0.4245
2017-05-20 00:00:00+00:00,0.3029
2017-05-21 00:00:00+00:00,0.3179
2017-05-22 00:00:00+00:00,0.4034
2017-05-23 00:00:00+00:00,0.5152
2017-05-24 00:00:00+00:00,0.6278
2017-05-25 00:00:00+00:00,0.5854
2017-05-26 00:00:00+00:00,0.5623
2017-05-27 00:00:00+00:00,0.2125
2017-05-28 00:00:00+00:00,0.1958
2017-05-29 00:00:00+00:00,0.3919
2017-05-30 00:00:00+00:00,0.547
2017-05-31 00:00:00+00:00,0.5602
2017-06-01 00:00:00+00:00,0.5132
2017-06-02 00:00:00+00:00,0.587
2017-06-03 00:00:00+00:00,0.3023
2017-06-04 00:00:00+00:00,0.2725
2017-06-05 00:00:00+00:00,0.5156
2017-06-06 00:00:00+00:00,0.4664
2017-06-07 00:00:00+00:00,0.5776
2017-06-08 00:00:00+00:00,0.6817
